cycle,warmup,phase,pid,footprintMiB,checkpointRequestedMs,hostElapsedMs,snapshotTimestampMs,snapshotSequence,appState,route,mountedImageSurfaces,mountedImages,overlayIndexSize,pendingRenders,queuedRenders,dispatchedRenders,clearPending,backgroundGeneration,clearStartedGeneration,clearCompletedGeneration,cycleVisibleUuidCount,cycleMountedOrPrefetchedUuidCount,cycleRenderKeyCount,measuredDistinctVisibleUuidCount,measuredDistinctMountedOrPrefetchedUuidCount,measuredDistinctRenderKeyCount
-1,True,settled,80440,271.9,33784.15458299965,37056.94158299966,1788947310253,77,active,play,3,9,200,0,0,0,0,0,-1,-1,1,14,25,0,0,0
-1,True,browsed,80440,321.8,141263.961166,143495.01679100003,1788947417720,81,active,play,3,9,200,0,0,0,0,0,-1,-1,20,24,51,0,0,0
-1,True,background,80440,317.7,143495.26458299998,146195.32220799988,1788947420507,89,background,play,0,0,200,0,0,0,0,1,1,1,20,24,51,0,0,0
-1,True,home,80440,268,162643.80816600006,164727.286541,1788947439018,93,active,(tabs)/home,19,66,200,0,0,0,0,1,1,1,20,24,51,0,0,0
0,True,settled,80440,275.9,198324.68104099995,200427.29679099983,1788947474755,111,active,play,3,9,200,0,0,0,0,1,1,1,1,14,25,0,0,0
0,True,browsed,80440,332.3,305442.03466599993,307441.1463329997,1788947581709,115,active,play,3,9,200,0,0,0,0,1,1,1,20,23,48,0,0,0
0,True,background,80440,328.1,307441.3884999999,309763.04508299986,1788947584101,122,background,play,0,0,200,0,0,0,0,2,2,2,20,23,48,0,0,0
0,True,home,80440,274.2,326012.15474999975,328094.9990409999,1788947602338,126,active,(tabs)/home,19,66,200,0,0,0,0,2,2,2,20,23,48,0,0,0
1,False,settled,80440,282.1,361390.214375,363521.0309159998,1788947637808,144,active,play,3,9,200,0,0,0,0,2,2,2,1,14,25,1,14,25
1,False,browsed,80440,329,468072.4144159998,470163.24333299976,1788947744491,148,active,play,3,9,200,0,0,0,0,2,2,2,20,23,48,20,23,48
1,False,background,80440,324.8,470163.51279099984,472835.6959159998,1788947747178,155,background,play,0,0,200,0,0,0,0,3,3,3,20,23,48,20,23,48
1,False,home,80440,328.6,489316.8856659997,491408.4599159998,1788947765656,159,active,(tabs)/home,19,66,200,0,0,0,0,3,3,3,20,23,48,20,23,48
2,False,settled,80440,304.2,525201.1490409998,527431.4328749999,1788947801660,178,active,play,3,9,200,0,0,0,0,3,3,3,1,32,43,21,32,64
2,False,browsed,80440,323.8,633502.1648329999,635697.121791,1788947909993,182,active,play,3,9,200,0,0,0,0,3,3,3,20,43,69,40,43,90
2,False,background,80440,319,635697.4076660001,638049.8669579998,1788947912362,189,background,play,0,0,200,0,0,0,0,4,4,4,20,43,69,40,43,90
2,False,home,80440,322.8,654637.924375,656833.3905829997,1788947931144,193,active,(tabs)/home,20,69,200,0,0,0,0,4,4,4,20,43,69,40,43,90
