run,surface,workload,runtimeId,pid,manifestSha256,measurementsSha256,cycle,cycleVisibleUuidCount,cycleIncidentalUuidCount,cycleRenderKeyCount,cumulativeDistinctActualVisibleUuids,cumulativeDistinctIncidentalUuids,cumulativeDistinctRenderKeys,cumulativeDistinctVisibleOrIncidentalUuids,browsedFootprintMiB,homeFootprintMiB,warm0HomeFootprintMiB,homeDeltaFromWarm0MiB,browsedHostElapsedMs,homeHostElapsedMs,browsedSnapshotSequence,homeSnapshotSequence
carousel-expanding-03,carousel,expanding,1788933938172-tnkvrbau,38268,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,4768ee22c84569cf3e6ae7c210460beacf7159bf712e9d03aa95eec7c6cab4b7,1,20,23,48,20,23,48,23,313,312.6,296,16.600000000000023,397912.38183299964,419090.15583299985,148,160
carousel-expanding-03,carousel,expanding,1788933938172-tnkvrbau,38268,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,4768ee22c84569cf3e6ae7c210460beacf7159bf712e9d03aa95eec7c6cab4b7,2,20,43,69,40,43,90,43,348.7,287.8,296,-8.199999999999989,538726.0749579999,559870.8858329998,183,194
carousel-expanding-03,carousel,expanding,1788933938172-tnkvrbau,38268,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,4768ee22c84569cf3e6ae7c210460beacf7159bf712e9d03aa95eec7c6cab4b7,3,20,46,72,60,63,132,63,307.2,305.6,296,9.600000000000023,678815.1682909997,700001.7987909997,217,228
carousel-expanding-03,carousel,expanding,1788933938172-tnkvrbau,38268,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,4768ee22c84569cf3e6ae7c210460beacf7159bf712e9d03aa95eec7c6cab4b7,4,20,46,72,80,83,174,83,328.7,327.4,296,31.399999999999977,819577.3491249997,840449.7540829997,251,262
carousel-expanding-03,carousel,expanding,1788933938172-tnkvrbau,38268,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,4768ee22c84569cf3e6ae7c210460beacf7159bf712e9d03aa95eec7c6cab4b7,5,20,46,72,100,103,216,103,344.6,343.3,296,47.30000000000001,959889.2517499998,981038.9382909997,285,296
carousel-expanding-03,carousel,expanding,1788933938172-tnkvrbau,38268,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,4768ee22c84569cf3e6ae7c210460beacf7159bf712e9d03aa95eec7c6cab4b7,6,20,45,71,120,123,258,123,351.7,296.2,296,0.19999999999998863,1106284.5939999996,1127324.161541,319,330
carousel-expanding-03,carousel,expanding,1788933938172-tnkvrbau,38268,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,4768ee22c84569cf3e6ae7c210460beacf7159bf712e9d03aa95eec7c6cab4b7,7,20,46,72,140,143,300,143,309.8,308.6,296,12.600000000000023,1250022.2472079997,1271232.6513329996,354,365
carousel-expanding-03,carousel,expanding,1788933938172-tnkvrbau,38268,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,4768ee22c84569cf3e6ae7c210460beacf7159bf712e9d03aa95eec7c6cab4b7,8,20,46,72,160,163,342,163,326.9,325.5,296,29.5,1392641.64775,1413956.1377909998,388,399
carousel-expanding-03,carousel,expanding,1788933938172-tnkvrbau,38268,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,4768ee22c84569cf3e6ae7c210460beacf7159bf712e9d03aa95eec7c6cab4b7,9,20,46,72,180,183,384,183,345.3,343.8,296,47.80000000000001,1536677.5304999999,1558091.1373329996,422,433
carousel-expanding-03,carousel,expanding,1788933938172-tnkvrbau,38268,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,4768ee22c84569cf3e6ae7c210460beacf7159bf712e9d03aa95eec7c6cab4b7,10,20,46,72,200,203,426,203,356.2,355.1,296,59.10000000000002,1680600.1097499998,1704948.6465409999,457,468
