cycle,warmup,phase,pid,footprintMiB,checkpointRequestedMs,hostElapsedMs,snapshotTimestampMs,snapshotSequence,appState,route,mountedImageSurfaces,mountedImages,overlayIndexSize,pendingRenders,queuedRenders,dispatchedRenders,clearPending,backgroundGeneration,clearStartedGeneration,clearCompletedGeneration,cycleVisibleUuidCount,cycleMountedOrPrefetchedUuidCount,cycleRenderKeyCount,measuredDistinctVisibleUuidCount,measuredDistinctMountedOrPrefetchedUuidCount,measuredDistinctRenderKeyCount
-1,True,settled,38268,254,33823.85649999976,37182.11945799971,1788933975465,77,active,play,3,9,200,0,0,0,0,0,-1,-1,1,14,25,0,0,0
-1,True,browsed,38268,304.7,118060.27387499996,120271.27233299986,1788934059731,81,active,play,3,9,200,0,0,0,0,0,-1,-1,20,24,50,0,0,0
-1,True,background,38268,301,120271.54070799984,123000.66620799992,1788934062540,89,background,play,0,0,200,0,0,0,0,1,1,1,20,24,50,0,0,0
-1,True,home,38268,265.3,139729.54749999987,141830.9169999999,1788934081315,93,active,(tabs)/home,19,66,200,0,0,0,0,1,1,1,20,24,50,0,0,0
0,True,settled,38268,270.6,175318.16158299986,177505.32262499956,1788934117066,111,active,play,3,9,200,0,0,0,0,1,1,1,1,14,25,0,0,0
0,True,browsed,38268,296.8,257023.63570799958,259136.32979099965,1788934198648,115,active,play,3,9,200,0,0,0,0,1,1,1,20,23,48,0,0,0
0,True,background,38268,292.5,259136.7698329999,261484.28599999985,1788934201033,122,background,play,0,0,200,0,0,0,0,2,2,2,20,23,48,0,0,0
0,True,home,38268,296,277997.9834159999,280085.4309159997,1788934219551,126,active,(tabs)/home,19,66,200,0,0,0,0,2,2,2,20,23,48,0,0,0
1,False,settled,38268,301.3,313113.22266599955,315216.92633299995,1788934254751,144,active,play,3,9,200,0,0,0,0,2,2,2,1,14,25,1,14,25
1,False,browsed,38268,313,395728.7887909999,397912.38183299964,1788934337382,148,active,play,3,9,200,0,0,0,0,2,2,2,20,23,48,20,23,48
1,False,background,38268,308.9,397912.7644999996,400270.9187499997,1788934339815,156,background,play,0,0,200,0,0,0,0,3,3,3,20,23,48,20,23,48
1,False,home,38268,312.6,416875.716333,419090.15583299985,1788934358583,160,active,(tabs)/home,19,66,200,0,0,0,0,3,3,3,20,23,48,20,23,48
2,False,settled,38268,295.9,452652.8993329997,454745.61237499956,1788934394318,179,active,play,3,9,200,0,0,0,0,3,3,3,1,32,43,21,32,64
2,False,browsed,38268,348.7,536500.6151249995,538726.0749579999,1788934478235,183,active,play,3,9,200,0,0,0,0,3,3,3,20,43,69,40,43,90
2,False,background,38268,344,538726.471833,541401.633833,1788934480960,190,background,play,0,0,200,0,0,0,0,4,4,4,20,43,69,40,43,90
