cycle,warmup,phase,pid,footprintMiB,checkpointRequestedMs,hostElapsedMs,snapshotTimestampMs,snapshotSequence,appState,route,mountedImageSurfaces,mountedImages,overlayIndexSize,pendingRenders,queuedRenders,dispatchedRenders,clearPending,backgroundGeneration,clearStartedGeneration,clearCompletedGeneration,cycleVisibleUuidCount,cycleMountedOrPrefetchedUuidCount,cycleRenderKeyCount,measuredDistinctVisibleUuidCount,measuredDistinctMountedOrPrefetchedUuidCount,measuredDistinctRenderKeyCount
-1,True,settled,10215,251.3,33318.46195899998,36365.70762500004,1788926330312,77,active,play,3,9,200,0,0,0,0,0,-1,-1,1,14,25,0,0,0
-1,True,browsed,10215,276.6,98411.30970899994,100582.67820900003,1788926395377,81,active,play,3,9,200,0,0,0,0,0,-1,-1,20,24,51,0,0,0
-1,True,background,10215,269.2,100582.906709,103469.59762499994,1788926398296,88,background,play,0,0,200,0,0,0,0,1,1,1,20,24,51,0,0,0
-1,True,home,10215,274.1,120039.69087499985,122217.20974999992,1788926417078,92,active,(tabs)/home,19,66,200,0,0,0,0,1,1,1,20,24,51,0,0,0
0,True,settled,10215,278.5,155333.2199169998,157433.63762499997,1788926452279,110,active,play,3,9,200,0,0,0,0,1,1,1,1,14,25,0,0,0
0,True,browsed,10215,284.6,220511.62774999999,222594.59154199995,1788926517364,114,active,play,3,9,200,0,0,0,0,1,1,1,20,23,48,0,0,0
0,True,background,10215,277,222594.80099999998,224950.51991700009,1788926519779,121,background,play,0,0,200,0,0,0,0,2,2,2,20,23,48,0,0,0
0,True,home,10215,280.6,241491.86041700002,243473.25929199997,1788926538280,125,active,(tabs)/home,19,66,200,0,0,0,0,2,2,2,20,23,48,0,0,0
1,False,settled,10215,287.2,275990.64812499983,278174.77799999993,1788926572964,143,active,play,3,9,200,0,0,0,0,2,2,2,1,14,25,1,14,25
1,False,browsed,10215,327.7,341858.0937089999,344069.2336249999,1788926638829,147,active,play,3,9,200,0,0,0,0,2,2,2,20,23,48,20,23,48
1,False,background,10215,320.2,344069.5249589998,346404.31341700023,1788926641246,154,background,play,0,0,200,0,0,0,0,3,3,3,20,23,48,20,23,48
1,False,home,10215,279.7,362681.304459,364662.032042,1788926659480,158,active,(tabs)/home,19,66,200,0,0,0,0,3,3,3,20,23,48,20,23,48
2,False,settled,10215,287.7,397417.0652089999,399646.35858400026,1788926694395,177,active,play,3,9,200,0,0,0,0,3,3,3,1,32,43,21,32,64
2,False,browsed,10215,334.7,463150.93254199997,465165.2506670002,1788926759997,181,active,play,3,9,200,0,0,0,0,3,3,3,20,43,69,40,43,90
2,False,background,10215,326.5,465165.5674589998,467981.28983400017,1788926762731,188,background,play,0,0,200,0,0,0,0,4,4,4,20,43,69,40,43,90
2,False,home,10215,290.4,484298.476667,486509.9131669998,1788926781314,192,active,(tabs)/home,20,69,200,0,0,0,0,4,4,4,20,43,69,40,43,90
3,False,settled,10215,294.7,519840.02875000006,522061.69604199985,1788926816796,211,active,play,3,9,200,0,0,0,0,4,4,4,1,35,46,41,52,106
3,False,browsed,10215,332.1,585669.8062499999,587909.5322500002,1788926882646,215,active,play,3,9,200,0,0,0,0,4,4,4,20,46,72,60,63,132
3,False,background,10215,323.4,587909.859834,590232.5082919998,1788926885098,223,background,play,0,0,200,0,0,0,0,5,5,5,20,46,72,60,63,132
3,False,home,10215,326.9,606669.4874999998,608765.1927499999,1788926903562,227,active,(tabs)/home,20,69,200,0,0,0,0,5,5,5,20,46,72,60,63,132
4,False,settled,10215,305.9,642795.9315,645030.1921669999,1788926939829,247,active,play,3,9,200,0,0,0,0,5,5,5,1,35,46,61,72,148
4,False,browsed,10215,325.3,709424.524334,711382.6828749999,1788927006247,251,active,play,3,9,200,0,0,0,0,5,5,5,20,46,72,80,83,174
4,False,background,10215,316.8,711383.0832500001,713731.3964590002,1788927008566,258,background,play,0,0,200,0,0,0,0,6,6,6,20,46,72,80,83,174
4,False,home,10215,320.5,730207.1749999998,732259.578584,1788927027063,262,active,(tabs)/home,20,69,200,0,0,0,0,6,6,6,20,46,72,80,83,174
5,False,settled,10215,328.7,765524.9622920002,767744.246917,1788927062515,281,active,play,3,9,200,0,0,0,0,6,6,6,1,35,46,81,92,190
5,False,browsed,10215,316.8,833225.0642090002,835448.2991670002,1788927130265,285,active,play,3,9,200,0,0,0,0,6,6,6,20,46,72,100,103,216
5,False,background,10215,308.3,835448.721417,838196.9532090002,1788927132996,292,background,play,0,0,200,0,0,0,0,7,7,7,20,46,72,100,103,216
5,False,home,10215,312,854814.93775,857014.6086249999,1788927151796,296,active,(tabs)/home,20,69,200,0,0,0,0,7,7,7,20,46,72,100,103,216
6,False,settled,10215,319.9,890554.8778750002,892786.040542,1788927187547,315,active,play,3,9,200,0,0,0,0,7,7,7,1,35,46,101,112,232
6,False,browsed,10215,355.7,962341.094,964417.1127090002,1788927259323,319,active,play,3,9,200,0,0,0,0,7,7,7,20,46,72,120,123,258
6,False,background,10215,347.4,964417.5647499999,966791.9073339999,1788927261633,326,background,play,0,0,200,0,0,0,0,8,8,8,20,46,72,120,123,258
6,False,home,10215,305.1,983656.9980839998,985887.8197920001,1788927280725,330,active,(tabs)/home,20,69,200,0,0,0,0,8,8,8,20,46,72,120,123,258
7,False,settled,10215,312.6,1019439.5733340001,1021636.9194590002,1788927316443,349,active,play,3,9,200,0,0,0,0,8,8,8,1,34,45,121,132,274
7,False,browsed,10215,339.3,1088826.35175,1090932.024084,1788927385775,353,active,play,3,9,200,0,0,0,0,8,8,8,20,45,71,140,143,300
7,False,background,10215,330.9,1090932.5269590002,1093279.576167,1788927388154,360,background,play,0,0,200,0,0,0,0,9,9,9,20,45,71,140,143,300
7,False,home,10215,334.8,1109861.334375,1112047.166625,1788927406927,364,active,(tabs)/home,20,69,200,0,0,0,0,9,9,9,20,45,71,140,143,300
8,False,settled,10215,315.5,1145046.2822500002,1147241.575584,1788927442127,383,active,play,3,9,200,0,0,0,0,9,9,9,1,35,46,141,152,316
8,False,browsed,10215,331.6,1213205.685709,1215290.274125,1788927510110,387,active,play,3,9,200,0,0,0,0,9,9,9,20,46,72,160,163,342
8,False,background,10215,323.1,1215290.806334,1217996.749584,1788927512868,394,background,play,0,0,200,0,0,0,0,10,10,10,20,46,72,160,163,342
8,False,home,10215,327,1234538.1630000002,1236511.206042,1788927531380,398,active,(tabs)/home,20,69,200,0,0,0,0,10,10,10,20,46,72,160,163,342
9,False,settled,10215,331.7,1270117.065709,1272195.486875,1788927567094,417,active,play,3,9,200,0,0,0,0,10,10,10,1,35,46,161,172,358
9,False,browsed,10215,319.6,1338958.224167,1341039.144084,1788927635913,421,active,play,3,9,200,0,0,0,0,10,10,10,20,46,72,180,183,384
9,False,background,10215,310.9,1341039.6994170002,1343398.3405420003,1788927638273,428,background,play,0,0,200,0,0,0,0,11,11,11,20,46,72,180,183,384
9,False,home,10215,314.4,1359960.4409170002,1362183.6339170001,1788927657031,432,active,(tabs)/home,20,69,200,0,0,0,0,11,11,11,20,46,72,180,183,384
10,False,settled,10215,323,1395742.298167,1397974.368084,1788927692753,452,active,play,3,9,200,0,0,0,0,11,11,11,1,35,46,181,192,400
10,False,browsed,10215,366.4,1463758.409,1465994.5042500002,1788927760783,456,active,play,3,9,200,0,0,0,0,11,11,11,20,46,72,200,203,426
10,False,background,10215,357.8,1465995.127667,1468310.6585420002,1788927763208,464,background,play,0,0,200,0,0,0,0,12,12,12,20,46,72,200,203,426
10,False,home,10215,312.2,1484780.48625,1486858.785209,1788927781697,468,active,(tabs)/home,20,69,200,0,0,0,0,12,12,12,20,46,72,200,203,426
11,False,settled,10215,320.3,1527078.9677920002,1529257.660292,1788927824099,487,active,play,3,9,200,0,0,0,0,12,12,12,1,35,46,201,212,442
11,False,browsed,10215,354.4,1595430.2627090001,1597530.3062089998,1788927892384,491,active,play,3,9,200,0,0,0,0,12,12,12,20,46,72,220,223,468
11,False,background,10215,345.8,1597530.938209,1600193.6060000001,1788927895089,498,background,play,0,0,200,0,0,0,0,13,13,13,20,46,72,220,223,468
