cycle,warmup,phase,pid,footprintMiB,checkpointRequestedMs,hostElapsedMs,snapshotTimestampMs,snapshotSequence,appState,route,mountedImageSurfaces,mountedImages,overlayIndexSize,pendingRenders,queuedRenders,dispatchedRenders,clearPending,backgroundGeneration,clearStartedGeneration,clearCompletedGeneration,cycleVisibleUuidCount,cycleMountedOrPrefetchedUuidCount,cycleRenderKeyCount,measuredDistinctVisibleUuidCount,measuredDistinctMountedOrPrefetchedUuidCount,measuredDistinctRenderKeyCount
-1,True,settled,17218,239.2,33786.038708000444,37016.4726250004,1788954150292,67,active,(tabs)/home,19,66,200,0,0,0,0,0,-1,-1,0,13,20,0,0,0
-1,True,browsed,17218,239.2,141265.57016600017,143502.46391600044,1788954257758,71,active,(tabs)/home,19,66,200,0,0,0,0,0,-1,-1,0,13,20,0,0,0
-1,True,background,17218,236.6,143502.68125000037,146198.8198330002,1788954260532,78,background,(tabs)/home,0,0,200,0,0,0,0,1,1,1,0,13,20,0,0,0
-1,True,home,17218,247.4,162644.3403330003,164726.73991600005,1788954279008,82,active,(tabs)/home,19,66,200,0,0,0,0,1,1,1,0,13,20,0,0,0
0,True,settled,17218,248.7,198325.88129100017,200456.4816660001,1788954314725,90,active,(tabs)/home,19,66,200,0,0,0,0,1,1,1,0,13,20,0,0,0
0,True,browsed,17218,248.9,305443.7632500003,307638.0402500001,1788954421926,94,active,(tabs)/home,19,66,200,0,0,0,0,1,1,1,0,13,20,0,0,0
0,True,background,17218,245.3,307638.31125000026,309980.95795800025,1788954424302,101,background,(tabs)/home,0,0,200,0,0,0,0,2,2,2,0,13,20,0,0,0
0,True,home,17218,244.5,326013.7430830002,328000.2363750003,1788954442342,105,active,(tabs)/home,19,66,200,0,0,0,0,2,2,2,0,13,20,0,0,0
1,False,settled,17218,244.5,361391.7069580001,363480.51666600024,1788954477808,113,active,(tabs)/home,19,66,200,0,0,0,0,2,2,2,0,13,20,0,13,20
1,False,browsed,17218,244.3,468073.56158300024,470181.4245410003,1788954584472,117,active,(tabs)/home,19,66,200,0,0,0,0,2,2,2,0,13,20,0,13,20
1,False,background,17218,240.7,470181.67287500016,472982.35558300046,1788954587232,124,background,(tabs)/home,0,0,200,0,0,0,0,3,3,3,0,13,20,0,13,20
1,False,home,17218,245.4,489318.0487080002,491557.43037500046,1788954605822,128,active,(tabs)/home,19,66,200,0,0,0,0,3,3,3,0,13,20,0,13,20
2,False,settled,17218,245.9,525202.765875,527308.2579580001,1788954641552,136,active,(tabs)/home,19,66,200,0,0,0,0,3,3,3,0,13,20,0,13,20
2,False,browsed,17218,246.3,633503.5725830002,635492.4297500001,1788954749821,140,active,(tabs)/home,19,66,200,0,0,0,0,3,3,3,0,13,20,0,13,20
2,False,background,17218,242.8,635698.9231250002,638084.4286660003,1788954752411,147,background,(tabs)/home,0,0,200,0,0,0,0,4,4,4,0,13,20,0,13,20
2,False,home,17218,259,654638.8792910003,656636.7419580002,1788954770936,151,active,(tabs)/home,19,66,200,0,0,0,0,4,4,4,0,13,20,0,13,20
3,False,settled,17218,260.3,689872.9622910004,692108.8978750003,1788954806389,159,active,(tabs)/home,19,66,200,0,0,0,0,4,4,4,0,13,20,0,13,20
3,False,browsed,17218,260.6,799708.4592080005,801910.3337910003,1788954916254,163,active,(tabs)/home,19,66,200,0,0,0,0,4,4,4,0,13,20,0,13,20
3,False,background,17218,257.9,801910.5993750002,804790.8773750002,1788954919161,170,background,(tabs)/home,0,0,200,0,0,0,0,5,5,5,0,13,20,0,13,20
3,False,home,17218,255.9,820993.5343750003,823138.4685000004,1788954937372,174,active,(tabs)/home,19,66,200,0,0,0,0,5,5,5,0,13,20,0,13,20
4,False,settled,17218,255.8,856377.6640000003,858585.4905000003,1788954972839,182,active,(tabs)/home,19,66,200,0,0,0,0,5,5,5,0,13,20,0,13,20
4,False,browsed,17218,255.8,964683.441875,966807.7696660003,1788955081104,186,active,(tabs)/home,19,66,200,0,0,0,0,5,5,5,0,13,20,0,13,20
4,False,background,17218,252.1,966808.094583,969143.6230830001,1788955083494,193,background,(tabs)/home,0,0,200,0,0,0,0,6,6,6,0,13,20,0,13,20
4,False,home,17218,255.9,985782.9053750001,987879.7068330003,1788955102239,197,active,(tabs)/home,19,66,200,0,0,0,0,6,6,6,0,13,20,0,13,20
5,False,settled,17218,256,1020887.5596250002,1023114.6487500002,1788955137422,205,active,(tabs)/home,19,66,200,0,0,0,0,6,6,6,0,13,20,0,13,20
5,False,browsed,17218,255.9,1131335.2557080002,1133552.89775,1788955247823,209,active,(tabs)/home,19,66,200,0,0,0,0,6,6,6,0,13,20,0,13,20
5,False,background,17218,252.5,1133553.2062500003,1136236.2457910003,1788955250562,216,background,(tabs)/home,0,0,200,0,0,0,0,7,7,7,0,13,20,0,13,20
5,False,home,17218,256.2,1152595.7674580007,1154798.4385410002,1788955269072,220,active,(tabs)/home,19,66,200,0,0,0,0,7,7,7,0,13,20,0,13,20
6,False,settled,17218,256.1,1188065.1340410006,1190299.5455000005,1788955304538,228,active,(tabs)/home,19,66,200,0,0,0,0,7,7,7,0,13,20,0,13,20
6,False,browsed,17218,256.1,1301880.2252910002,1304105.3425410003,1788955418406,232,active,(tabs)/home,19,66,200,0,0,0,0,7,7,7,0,13,20,0,13,20
6,False,background,17218,252.5,1304105.635166,1306429.2417500005,1788955420762,239,background,(tabs)/home,0,0,200,0,0,0,0,8,8,8,0,13,20,0,13,20
6,False,home,17218,260.1,1322646.3904580004,1324725.738916,1788955439056,243,active,(tabs)/home,19,66,200,0,0,0,0,8,8,8,0,13,20,0,13,20
7,False,settled,17218,259.9,1357824.1005409998,1359933.2310000001,1788955474236,251,active,(tabs)/home,19,66,200,0,0,0,0,8,8,8,0,13,20,0,13,20
7,False,browsed,17218,259.9,1468083.3257080005,1470074.0829580002,1788955584373,255,active,(tabs)/home,19,66,200,0,0,0,0,8,8,8,0,13,20,0,13,20
7,False,background,17218,256.5,1470184.4768750002,1472825.3830830003,1788955587193,263,background,(tabs)/home,0,0,200,0,0,0,0,9,9,9,0,13,20,0,13,20
7,False,home,17218,260.1,1489262.3554580002,1491370.9603330004,1788955605655,267,active,(tabs)/home,19,66,200,0,0,0,0,9,9,9,0,13,20,0,13,20
8,False,settled,17218,260,1525247.4932499998,1527344.8660410005,1788955641656,275,active,(tabs)/home,19,66,200,0,0,0,0,9,9,9,0,13,20,0,13,20
8,False,browsed,17218,260,1636301.6592080002,1638281.7142079999,1788955752586,279,active,(tabs)/home,19,66,200,0,0,0,0,9,9,9,0,13,20,0,13,20
8,False,background,17218,256.5,1638282.0322910002,1640678.161833,1788955754978,286,background,(tabs)/home,0,0,200,0,0,0,0,10,10,10,0,13,20,0,13,20
8,False,home,17218,260.1,1657475.5502910004,1659476.4347500005,1788955773806,290,active,(tabs)/home,19,66,200,0,0,0,0,10,10,10,0,13,20,0,13,20
9,False,settled,17218,260,1693274.944083,1695504.3469580007,1788955809789,298,active,(tabs)/home,19,66,200,0,0,0,0,10,10,10,0,13,20,0,13,20
9,False,browsed,17218,260,1804263.5932500004,1806372.5136660007,1788955920722,302,active,(tabs)/home,19,66,200,0,0,0,0,10,10,10,0,13,20,0,13,20
9,False,background,17218,256.5,1806461.0282080001,1809149.4315000004,1788955923456,309,background,(tabs)/home,0,0,200,0,0,0,0,11,11,11,0,13,20,0,13,20
9,False,home,17218,260.6,1826051.1134159998,1828279.8736250005,1788955942572,313,active,(tabs)/home,19,66,200,0,0,0,0,11,11,11,0,13,20,0,13,20
10,False,settled,17218,260.7,1861865.791416,1863969.2048330004,1788955978306,321,active,(tabs)/home,19,66,200,0,0,0,0,11,11,11,0,13,20,0,13,20
10,False,browsed,17218,260.5,1973812.600708,1976034.7192910002,1788956090306,325,active,(tabs)/home,19,66,200,0,0,0,0,11,11,11,0,13,20,0,13,20
10,False,background,17218,257,1976054.2837910005,1978388.161291,1788956092709,332,background,(tabs)/home,0,0,200,0,0,0,0,12,12,12,0,13,20,0,13,20
10,False,home,17218,260.6,1994767.3021660005,1996943.0452910005,1788956111237,336,active,(tabs)/home,19,66,200,0,0,0,0,12,12,12,0,13,20,0,13,20
11,False,settled,17218,260.6,2036909.7162910006,2039136.4029160007,1788956153372,344,active,(tabs)/home,19,66,200,0,0,0,0,12,12,12,0,13,20,0,13,20
11,False,browsed,17218,260.5,2148383.757791,2150590.7765409998,1788956264812,348,active,(tabs)/home,19,66,200,0,0,0,0,12,12,12,0,13,20,0,13,20
11,False,background,17218,257.1,2150596.481708,2153524.9137910004,1788956267737,356,background,(tabs)/home,0,0,200,0,0,0,0,13,13,13,0,13,20,0,13,20
11,False,home,17218,260.6,2169986.0099580004,2172095.9117500004,1788956286330,360,active,(tabs)/home,19,66,200,0,0,0,0,13,13,13,0,13,20,0,13,20
12,False,settled,17218,260.5,2205320.829708,2207569.6855410007,1788956321782,368,active,(tabs)/home,19,66,200,0,0,0,0,13,13,13,0,13,20,0,13,20
12,False,browsed,17218,260.5,2317629.4793750006,2319698.382458,1788956434047,372,active,(tabs)/home,19,66,200,0,0,0,0,13,13,13,0,13,20,0,13,20
12,False,background,17218,257,2319816.882833,2322182.97275,1788956436487,380,background,(tabs)/home,0,0,200,0,0,0,0,14,14,14,0,13,20,0,13,20
12,False,home,17218,260.9,2346561.417833,2348777.6261660005,1788956463013,384,active,(tabs)/home,19,66,200,0,0,0,0,14,14,14,0,13,20,0,13,20
13,False,settled,17218,261.1,2397711.0054580006,2399977.48,1788956514213,392,active,(tabs)/home,19,66,200,0,0,0,0,14,14,14,0,13,20,0,13,20
13,False,browsed,17218,260.9,2510465.779958,2512448.4115830003,1788956626745,396,active,(tabs)/home,19,66,200,0,0,0,0,14,14,14,0,13,20,0,13,20
13,False,background,17218,258.3,2512563.9382080003,2515509.5333330003,1788956629717,404,background,(tabs)/home,0,0,200,0,0,0,0,15,15,15,0,13,20,0,13,20
13,False,home,17218,265.7,2535055.5164580005,2537295.120458,1788956651561,408,active,(tabs)/home,19,66,200,0,0,0,0,15,15,15,0,13,20,0,13,20
14,False,settled,17218,265.7,2574317.2144160005,2576540.938083,1788956690762,416,active,(tabs)/home,19,66,200,0,0,0,0,15,15,15,0,13,20,0,13,20
14,False,browsed,17218,265.8,2687113.404125,2689332.1492080004,1788956803545,420,active,(tabs)/home,19,66,200,0,0,0,0,15,15,15,0,13,20,0,13,20
14,False,background,17218,262.1,2689332.657333,2691656.2321250006,1788956806000,428,background,(tabs)/home,0,0,200,0,0,0,0,16,16,16,0,13,20,0,13,20
14,False,home,17218,265.6,2708073.580041,2710181.26275,1788956824477,432,active,(tabs)/home,19,66,200,0,0,0,0,16,16,16,0,13,20,0,13,20
15,False,settled,17218,265.5,2743589.974333,2745702.097083,1788956859944,440,active,(tabs)/home,19,66,200,0,0,0,0,16,16,16,0,13,20,0,13,20
15,False,browsed,17218,265.5,2856839.433791,2858968.9634160004,1788956973276,444,active,(tabs)/home,19,66,200,0,0,0,0,16,16,16,0,13,20,0,13,20
