cycle,warmup,phase,pid,footprintMiB,checkpointRequestedMs,hostElapsedMs,snapshotTimestampMs,snapshotSequence,appState,route,mountedImageSurfaces,mountedImages,overlayIndexSize,pendingRenders,queuedRenders,dispatchedRenders,clearPending,backgroundGeneration,clearStartedGeneration,clearCompletedGeneration,cycleVisibleUuidCount,cycleMountedOrPrefetchedUuidCount,cycleRenderKeyCount,measuredDistinctVisibleUuidCount,measuredDistinctMountedOrPrefetchedUuidCount,measuredDistinctRenderKeyCount
-1,True,settled,64669,229.6,33269.436166,35282.018458000006,1788918579887,65,active,(tabs)/home,19,66,200,0,0,0,0,0,-1,-1,0,13,20,0,0,0
-1,True,browsed,64669,229.8,79070.839708,81173.10758299999,1788918625753,69,active,(tabs)/home,19,66,200,0,0,0,0,0,-1,-1,0,13,20,0,0,0
-1,True,background,64669,227.9,81173.314416,83852.430833,1788918628390,76,background,(tabs)/home,0,0,200,0,0,0,0,1,1,1,0,13,20,0,0,0
-1,True,home,64669,234.4,98507.247625,100441.901833,1788918645120,80,active,(tabs)/home,19,66,200,0,0,0,0,1,1,1,0,13,20,0,0,0
0,True,settled,64669,234.2,133790.19912499998,136015.13325,1788918680587,88,active,(tabs)/home,19,66,200,0,0,0,0,1,1,1,0,13,20,0,0,0
0,True,browsed,64669,234.3,179198.673916,181281.6665,1788918725920,92,active,(tabs)/home,19,66,200,0,0,0,0,1,1,1,0,13,20,0,0,0
0,True,background,64669,230.2,181308.97916600003,183732.90508300002,1788918728292,99,background,(tabs)/home,0,0,200,0,0,0,0,2,2,2,0,13,20,0,0,0
0,True,home,64669,238.2,200086.88079100003,202283.903,1788918746853,103,active,(tabs)/home,19,66,200,0,0,0,0,2,2,2,0,13,20,0,0,0
1,False,settled,64669,239.6,235795.07162500004,238042.38108300004,1788918782586,111,active,(tabs)/home,19,66,200,0,0,0,0,2,2,2,0,13,20,0,13,20
1,False,browsed,64669,239.7,280872.117875,283098.415041,1788918827653,115,active,(tabs)/home,19,66,200,0,0,0,0,2,2,2,0,13,20,0,13,20
1,False,background,64669,236.2,283098.657666,285442.961833,1788918830078,123,background,(tabs)/home,0,0,200,0,0,0,0,3,3,3,0,13,20,0,13,20
1,False,home,64669,247.5,301788.69950000005,304003.28275,1788918848572,127,active,(tabs)/home,19,66,200,0,0,0,0,3,3,3,0,13,20,0,13,20
2,False,settled,64669,248.8,336526.26670800004,338607.623,1788918883235,135,active,(tabs)/home,19,66,200,0,0,0,0,3,3,3,0,13,20,0,13,20
2,False,browsed,64669,249,382821.441875,385043.0445,1788918929637,139,active,(tabs)/home,19,66,200,0,0,0,0,3,3,3,0,13,20,0,13,20
2,False,background,64669,245.5,385043.32837500004,387745.427,1788918932256,146,background,(tabs)/home,0,0,200,0,0,0,0,4,4,4,0,13,20,0,13,20
2,False,home,64669,249.2,403994.357666,406103.095041,1788918950636,150,active,(tabs)/home,19,66,200,0,0,0,0,4,4,4,0,13,20,0,13,20
3,False,settled,64669,249.1,438725.4680410001,440950.30708299996,1788918985569,158,active,(tabs)/home,19,66,200,0,0,0,0,4,4,4,0,13,20,0,13,20
3,False,browsed,64669,249.1,484002.16070800007,485983.719208,1788919030636,162,active,(tabs)/home,19,66,200,0,0,0,0,4,4,4,0,13,20,0,13,20
3,False,background,64669,245.6,486221.11575,488674.20000000007,1788919033223,169,background,(tabs)/home,0,0,200,0,0,0,0,5,5,5,0,13,20,0,13,20
3,False,home,64669,249.2,504992.471,507205.617416,1788919051803,173,active,(tabs)/home,19,66,200,0,0,0,0,5,5,5,0,13,20,0,13,20
4,False,settled,64669,250,541187.0112910001,543176.155,1788919087786,181,active,(tabs)/home,19,66,200,0,0,0,0,5,5,5,0,13,20,0,13,20
4,False,browsed,64669,249.9,586957.885625,589048.5077910001,1788919133653,185,active,(tabs)/home,19,66,200,0,0,0,0,5,5,5,0,13,20,0,13,20
4,False,background,64669,247.3,589048.785458,591358.429541,1788919136026,192,background,(tabs)/home,0,0,200,0,0,0,0,6,6,6,0,13,20,0,13,20
4,False,home,64669,252,607702.963291,609932.240291,1788919154537,196,active,(tabs)/home,19,66,200,0,0,0,0,6,6,6,0,13,20,0,13,20
5,False,settled,64669,251.9,642392.7205,644611.0825830001,1788919189203,204,active,(tabs)/home,19,66,200,0,0,0,0,6,6,6,0,13,20,0,13,20
5,False,browsed,64669,251.8,688229.7414160001,690458.909208,1788919235069,208,active,(tabs)/home,19,66,200,0,0,0,0,6,6,6,0,13,20,0,13,20
5,False,background,64669,248.4,690483.2899580001,693033.077708,1788919237681,215,background,(tabs)/home,0,0,200,0,0,0,0,7,7,7,0,13,20,0,13,20
5,False,home,64669,252,709776.9372500001,711877.359,1788919256452,219,active,(tabs)/home,19,66,200,0,0,0,0,7,7,7,0,13,20,0,13,20
6,False,settled,64669,251.8,745060.822208,747040.437083,1788919291653,227,active,(tabs)/home,19,66,200,0,0,0,0,7,7,7,0,13,20,0,13,20
6,False,browsed,64669,251.8,792545.32975,794741.658875,1788919339386,231,active,(tabs)/home,19,66,200,0,0,0,0,7,7,7,0,13,20,0,13,20
6,False,background,64669,248.4,794741.941833,797085.39725,1788919341727,238,background,(tabs)/home,0,0,200,0,0,0,0,8,8,8,0,13,20,0,13,20
6,False,home,64669,252.1,813023.579666,815139.182958,1788919359704,242,active,(tabs)/home,19,66,200,0,0,0,0,8,8,8,0,13,20,0,13,20
7,False,settled,64669,252,848551.73225,850491.531375,1788919395167,250,active,(tabs)/home,19,66,200,0,0,0,0,8,8,8,0,13,20,0,13,20
7,False,browsed,64669,251.9,896253.13275,898239.614416,1788919442903,254,active,(tabs)/home,19,66,200,0,0,0,0,8,8,8,0,13,20,0,13,20
7,False,background,64669,248.5,898473.968791,900964.4365000001,1788919445491,261,background,(tabs)/home,0,0,200,0,0,0,0,9,9,9,0,13,20,0,13,20
7,False,home,64669,256,917641.9192080001,919764.740291,1788919464386,265,active,(tabs)/home,19,66,200,0,0,0,0,9,9,9,0,13,20,0,13,20
8,False,settled,64669,255.9,952091.351916,954197.0335,1788919498786,273,active,(tabs)/home,19,66,200,0,0,0,0,9,9,9,0,13,20,0,13,20
8,False,browsed,64669,255.9,1002202.2852909999,1004281.256291,1788919548921,277,active,(tabs)/home,19,66,200,0,0,0,0,9,9,9,0,13,20,0,13,20
8,False,background,64669,252.4,1004426.092875,1007089.2450410001,1788919551630,285,background,(tabs)/home,0,0,200,0,0,0,0,10,10,10,0,13,20,0,13,20
8,False,home,64669,256.4,1023279.3685829999,1025376.740875,1788919569986,289,active,(tabs)/home,19,66,200,0,0,0,0,10,10,10,0,13,20,0,13,20
9,False,settled,64669,256.3,1058316.802375,1060282.674958,1788919604919,297,active,(tabs)/home,19,66,200,0,0,0,0,10,10,10,0,13,20,0,13,20
9,False,browsed,64669,256.3,1108695.9562499998,1110685.673916,1788919655319,301,active,(tabs)/home,19,66,200,0,0,0,0,10,10,10,0,13,20,0,13,20
9,False,background,64669,252.9,1110908.978375,1113296.7544999998,1788919657923,308,background,(tabs)/home,0,0,200,0,0,0,0,11,11,11,0,13,20,0,13,20
9,False,home,64669,256.4,1129511.600958,1131587.3924999998,1788919676168,312,active,(tabs)/home,19,66,200,0,0,0,0,11,11,11,0,13,20,0,13,20
10,False,settled,64669,256.4,1165081.639666,1167252.938416,1788919711902,320,active,(tabs)/home,19,66,200,0,0,0,0,11,11,11,0,13,20,0,13,20
10,False,browsed,64669,256.4,1216937.7610409998,1219056.35025,1788919763635,324,active,(tabs)/home,19,66,200,0,0,0,0,11,11,11,0,13,20,0,13,20
10,False,background,64669,252.8,1219056.7854159998,1221357.380375,1788919766041,331,background,(tabs)/home,0,0,200,0,0,0,0,12,12,12,0,13,20,0,13,20
10,False,home,64669,257.6,1237995.844166,1240111.5820829999,1788919784752,335,active,(tabs)/home,19,66,200,0,0,0,0,12,12,12,0,13,20,0,13,20
11,False,settled,64669,258.9,1272988.252416,1275117.377958,1788919819685,343,active,(tabs)/home,19,66,200,0,0,0,0,12,12,12,0,13,20,0,13,20
11,False,browsed,64669,259,1323826.49225,1326054.1043329998,1788919870619,347,active,(tabs)/home,19,66,200,0,0,0,0,12,12,12,0,13,20,0,13,20
11,False,background,64669,256.3,1326054.4871659998,1328594.8506659998,1788919873250,354,background,(tabs)/home,0,0,200,0,0,0,0,13,13,13,0,13,20,0,13,20
11,False,home,64669,264,1344987.348875,1347098.6663749998,1788919891719,358,active,(tabs)/home,19,66,200,0,0,0,0,13,13,13,0,13,20,0,13,20
12,False,settled,64669,263.9,1379882.5489579998,1382096.0531249999,1788919926653,366,active,(tabs)/home,19,66,200,0,0,0,0,13,13,13,0,13,20,0,13,20
12,False,browsed,64669,263.8,1430150.615875,1432132.005375,1788919976785,370,active,(tabs)/home,19,66,200,0,0,0,0,13,13,13,0,13,20,0,13,20
