cycle,warmup,phase,pid,footprintMiB,checkpointRequestedMs,hostElapsedMs,snapshotTimestampMs,snapshotSequence,appState,route,mountedImageSurfaces,mountedImages,overlayIndexSize,pendingRenders,queuedRenders,dispatchedRenders,clearPending,backgroundGeneration,clearStartedGeneration,clearCompletedGeneration,cycleVisibleUuidCount,cycleMountedOrPrefetchedUuidCount,cycleRenderKeyCount,measuredDistinctVisibleUuidCount,measuredDistinctMountedOrPrefetchedUuidCount,measuredDistinctRenderKeyCount
-1,True,settled,37109,255.2,33269.158625,35455.427458000006,1788916106813,75,active,play,3,9,200,0,0,0,0,0,-1,-1,1,14,25,0,0,0
-1,True,browsed,37109,269.9,79070.36508300001,81037.651292,1788916152394,79,active,play,3,9,200,0,0,0,0,0,-1,-1,20,23,49,0,0,0
-1,True,background,37109,266.7,81037.86470800001,83583.45883300001,1788916154972,86,background,play,0,0,200,0,0,0,0,1,1,1,20,23,49,0,0,0
-1,True,home,37109,279.2,98283.372,100498.573167,1788916171813,90,active,(tabs)/home,19,66,200,0,0,0,0,1,1,1,20,23,49,0,0,0
0,True,settled,37109,281.3,133789.482167,136000.382875,1788916207293,108,active,play,3,9,200,0,0,0,0,1,1,1,1,14,25,0,0,0
0,True,browsed,37109,288.1,179198.04491700002,181307.85070799998,1788916252637,112,active,play,3,9,200,0,0,0,0,1,1,1,20,23,48,0,0,0
0,True,background,37109,283.4,181308.13725,183637.818667,1788916255020,119,background,play,0,0,200,0,0,0,0,2,2,2,20,23,48,0,0,0
0,True,home,37109,288.9,200086.774542,202176.82404200002,1788916273526,123,active,(tabs)/home,19,66,200,0,0,0,0,2,2,2,20,23,48,0,0,0
1,False,settled,37109,288.9,235794.0965,237873.048042,1788916309263,141,active,play,3,9,200,0,0,0,0,2,2,2,1,14,25,1,14,25
1,False,browsed,37109,292.2,280871.120875,282961.61825000006,1788916354311,145,active,play,3,9,200,0,0,0,0,2,2,2,20,23,48,20,23,48
1,False,background,37109,287.7,282961.86083300004,285302.21366699995,1788916356681,152,background,play,0,0,200,0,0,0,0,3,3,3,20,23,48,20,23,48
1,False,home,37109,296.1,301788.05587499996,303859.31891699997,1788916375195,156,active,(tabs)/home,19,66,200,0,0,0,0,3,3,3,20,23,48,20,23,48
2,False,settled,37109,297.3,336525.696292,338720.35658300004,1788916410078,174,active,play,3,9,200,0,0,0,0,3,3,3,1,14,25,20,23,48
2,False,browsed,37109,297.9,382821.23,384791.94179199997,1788916456164,178,active,play,3,9,200,0,0,0,0,3,3,3,20,23,48,20,23,48
2,False,background,37109,294.1,384792.24887500005,387368.073417,1788916458754,185,background,play,0,0,200,0,0,0,0,4,4,4,20,23,48,20,23,48
2,False,home,37109,296.2,403994.099792,406206.38450000004,1788916477564,189,active,(tabs)/home,19,66,200,0,0,0,0,4,4,4,20,23,48,20,23,48
3,False,settled,37109,297.3,438725.1945,440804.2303749999,1788916512213,207,active,play,3,9,200,0,0,0,0,4,4,4,1,14,25,20,23,48
3,False,browsed,37109,303.3,484001.4474579999,486219.834333,1788916557531,211,active,play,3,9,200,0,0,0,0,4,4,4,20,23,48,20,23,48
3,False,background,37109,298,486220.12854199996,488546.70875,1788916559947,218,background,play,0,0,200,0,0,0,0,5,5,5,20,23,48,20,23,48
3,False,home,37109,301.5,504991.414167,507035.24629199994,1788916578430,222,active,(tabs)/home,19,66,200,0,0,0,0,5,5,5,20,23,48,20,23,48
4,False,settled,37109,302.7,541185.287208,543306.186292,1788916614699,240,active,play,3,9,200,0,0,0,0,5,5,5,1,14,25,20,23,48
4,False,browsed,37109,299.6,586956.57025,588933.442083,1788916660299,244,active,play,3,9,200,0,0,0,0,5,5,5,20,23,48,20,23,48
4,False,background,37109,295.5,588933.7405419999,591370.469208,1788916662667,251,background,play,0,0,200,0,0,0,0,6,6,6,20,23,48,20,23,48
4,False,home,37109,299.1,607701.711583,609902.389167,1788916681250,255,active,(tabs)/home,19,66,200,0,0,0,0,6,6,6,20,23,48,20,23,48
5,False,settled,37109,300.3,642391.753083,644590.629583,1788916715934,273,active,play,3,9,200,0,0,0,0,6,6,6,1,14,25,20,23,48
5,False,browsed,37109,300.8,688229.2118749999,690481.8904169999,1788916761800,277,active,play,3,9,200,0,0,0,0,6,6,6,20,23,48,20,23,48
5,False,background,37109,296.6,690482.241833,693173.652792,1788916764460,284,background,play,0,0,200,0,0,0,0,7,7,7,20,23,48,20,23,48
5,False,home,37109,300.2,709776.141667,711989.0285,1788916783334,288,active,(tabs)/home,19,66,200,0,0,0,0,7,7,7,20,23,48,20,23,48
6,False,settled,37109,300.5,745059.713958,747172.594625,1788916818537,306,active,play,3,9,200,0,0,0,0,7,7,7,1,14,25,20,23,48
6,False,browsed,37109,304.1,792544.505042,794625.242333,1788916865983,310,active,play,3,9,200,0,0,0,0,7,7,7,20,23,48,20,23,48
6,False,background,37109,298.7,794625.621542,796972.2895419999,1788916868352,317,background,play,0,0,200,0,0,0,0,8,8,8,20,23,48,20,23,48
