run,surface,workload,runtimeId,pid,manifestSha256,measurementsSha256,cycle,cycleVisibleUuidCount,cycleIncidentalUuidCount,cycleRenderKeyCount,cumulativeDistinctActualVisibleUuids,cumulativeDistinctIncidentalUuids,cumulativeDistinctRenderKeys,cumulativeDistinctVisibleOrIncidentalUuids,browsedFootprintMiB,homeFootprintMiB,warm0HomeFootprintMiB,homeDeltaFromWarm0MiB,browsedHostElapsedMs,homeHostElapsedMs,browsedSnapshotSequence,homeSnapshotSequence
carousel-replay-02,carousel,replay,1788916070526-cccdjy5i,37109,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,9fea86102c36c1d760937e4d30e23da774fcc3e355327daa917629ca97951caa,1,20,23,48,20,23,48,23,292.2,296.1,288.9,7.2000000000000455,282961.61825000006,303859.31891699997,145,156
carousel-replay-02,carousel,replay,1788916070526-cccdjy5i,37109,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,9fea86102c36c1d760937e4d30e23da774fcc3e355327daa917629ca97951caa,2,20,23,48,20,23,48,23,297.9,296.2,288.9,7.300000000000011,384791.94179199997,406206.38450000004,178,189
carousel-replay-02,carousel,replay,1788916070526-cccdjy5i,37109,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,9fea86102c36c1d760937e4d30e23da774fcc3e355327daa917629ca97951caa,3,20,23,48,20,23,48,23,303.3,301.5,288.9,12.600000000000023,486219.834333,507035.24629199994,211,222
carousel-replay-02,carousel,replay,1788916070526-cccdjy5i,37109,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,9fea86102c36c1d760937e4d30e23da774fcc3e355327daa917629ca97951caa,4,20,23,48,20,23,48,23,299.6,299.1,288.9,10.200000000000045,588933.442083,609902.389167,244,255
carousel-replay-02,carousel,replay,1788916070526-cccdjy5i,37109,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,9fea86102c36c1d760937e4d30e23da774fcc3e355327daa917629ca97951caa,5,20,23,48,20,23,48,23,300.8,300.2,288.9,11.300000000000011,690481.8904169999,711989.0285,277,288
carousel-replay-02,carousel,replay,1788916070526-cccdjy5i,37109,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,9fea86102c36c1d760937e4d30e23da774fcc3e355327daa917629ca97951caa,6,20,23,48,20,23,48,23,304.1,302.2,288.9,13.300000000000011,794625.242333,815246.427458,310,321
carousel-replay-02,carousel,replay,1788916070526-cccdjy5i,37109,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,9fea86102c36c1d760937e4d30e23da774fcc3e355327daa917629ca97951caa,7,20,23,48,20,23,48,23,305.4,303.5,288.9,14.600000000000023,898473.5284579999,919856.889083,343,354
carousel-replay-02,carousel,replay,1788916070526-cccdjy5i,37109,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,9fea86102c36c1d760937e4d30e23da774fcc3e355327daa917629ca97951caa,8,20,23,48,20,23,48,23,311.5,311,288.9,22.100000000000023,1004425.143958,1025267.58675,376,387
carousel-replay-02,carousel,replay,1788916070526-cccdjy5i,37109,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,9fea86102c36c1d760937e4d30e23da774fcc3e355327daa917629ca97951caa,9,20,23,48,20,23,48,23,313,311.7,288.9,22.80000000000001,1110908.408125,1131497.953708,409,420
carousel-replay-02,carousel,replay,1788916070526-cccdjy5i,37109,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,9fea86102c36c1d760937e4d30e23da774fcc3e355327daa917629ca97951caa,10,20,23,48,20,23,48,23,313.4,312.9,288.9,24.0,1218898.441792,1239973.295292,442,453
