cycle,warmup,phase,pid,footprintMiB,checkpointRequestedMs,hostElapsedMs,snapshotTimestampMs,snapshotSequence,appState,route,mountedImageSurfaces,mountedImages,overlayIndexSize,pendingRenders,queuedRenders,dispatchedRenders,clearPending,backgroundGeneration,clearStartedGeneration,clearCompletedGeneration,cycleVisibleUuidCount,cycleMountedOrPrefetchedUuidCount,cycleRenderKeyCount,measuredDistinctVisibleUuidCount,measuredDistinctMountedOrPrefetchedUuidCount,measuredDistinctRenderKeyCount
-1,True,settled,84435,253.8,33139.057875,35356.66141599999,1788913343243,76,active,play,3,9,200,0,0,0,0,0,-1,-1,1,14,25,0,0,0
-1,True,browsed,84435,267.8,77597.26229099999,79685.606291,1788913387506,80,active,play,3,9,200,0,0,0,0,0,-1,-1,20,23,48,0,0,0
-1,True,background,84435,264.5,79685.832666,82214.883,1788913390170,88,background,play,0,0,200,0,0,0,0,1,1,1,20,23,48,0,0,0
-1,True,home,84435,277.5,96833.92050000001,98939.09904100001,1788913406757,92,active,(tabs)/home,19,66,200,0,0,0,0,1,1,1,20,23,48,0,0,0
0,True,settled,84435,279.5,131593.987,133816.578875,1788913441689,110,active,play,3,9,200,0,0,0,0,1,1,1,1,14,25,0,0,0
0,True,browsed,84435,281.3,174761.234375,176977.427958,1788913484841,114,active,play,3,9,200,0,0,0,0,1,1,1,20,23,48,0,0,0
0,True,background,84435,277,176977.734833,179321.904833,1788913487222,121,background,play,0,0,200,0,0,0,0,2,2,2,20,23,48,0,0,0
0,True,home,84435,288.3,195722.10420799998,197792.745416,1788913505723,125,active,(tabs)/home,19,66,200,0,0,0,0,2,2,2,20,23,48,0,0,0
1,False,settled,84435,287.9,230831.72483300001,233021.7125,1788913540924,143,active,play,3,9,200,0,0,0,0,2,2,2,1,14,25,1,14,25
1,False,browsed,84435,289.3,273347.065708,275441.59683299996,1788913583322,147,active,play,3,9,200,0,0,0,0,2,2,2,20,23,48,20,23,48
1,False,background,84435,285.1,275441.85325000004,277780.0105,1788913585713,154,background,play,0,0,200,0,0,0,0,3,3,3,20,23,48,20,23,48
1,False,home,84435,290.8,294486.40904099995,296587.79333300004,1788913604456,158,active,(tabs)/home,19,66,200,0,0,0,0,3,3,3,20,23,48,20,23,48
2,False,settled,84435,298.2,329583.60612500005,331783.79995799996,1788913639658,176,active,play,3,9,200,0,0,0,0,3,3,3,1,14,25,20,23,48
2,False,browsed,84435,302.3,373050.975458,375129.057208,1788913683057,180,active,play,3,9,200,0,0,0,0,3,3,3,20,23,48,20,23,48
2,False,background,84435,298.2,375129.409916,377468.2975,1788913685399,187,background,play,0,0,200,0,0,0,0,4,4,4,20,23,48,20,23,48
2,False,home,84435,302,394081.138958,396287.96575,1788913704176,191,active,(tabs)/home,19,66,200,0,0,0,0,4,4,4,20,23,48,20,23,48
3,False,settled,84435,302.1,429273.802291,431499.48337499995,1788913739390,209,active,play,3,9,200,0,0,0,0,4,4,4,1,14,25,20,23,48
3,False,browsed,84435,305.9,472652.616375,474636.4093330001,1788913782575,213,active,play,3,9,200,0,0,0,0,4,4,4,20,23,48,20,23,48
3,False,background,84435,301.8,474636.689291,477166.98337500007,1788913785153,220,background,play,0,0,200,0,0,0,0,5,5,5,20,23,48,20,23,48
3,False,home,84435,305.4,493381.63433300005,495456.95183300006,1788913803340,224,active,(tabs)/home,19,66,200,0,0,0,0,5,5,5,20,23,48,20,23,48
4,False,settled,84435,305.2,528676.2895000001,530883.759416,1788913838807,242,active,play,3,9,200,0,0,0,0,5,5,5,1,14,25,20,23,48
4,False,browsed,84435,309.8,572839.3437910001,574838.700708,1788913882727,246,active,play,3,9,200,0,0,0,0,5,5,5,20,23,48,20,23,48
4,False,background,84435,305.7,574839.000125,577157.583916,1788913885109,253,background,play,0,0,200,0,0,0,0,6,6,6,20,23,48,20,23,48
4,False,home,84435,309.2,593725.23275,595950.179166,1788913903860,257,active,(tabs)/home,19,66,200,0,0,0,0,6,6,6,20,23,48,20,23,48
5,False,settled,84435,309.2,628959.306625,631120.895416,1788913939059,275,active,play,3,9,200,0,0,0,0,6,6,6,1,14,25,20,23,48
