run,surface,workload,runtimeId,pid,manifestSha256,measurementsSha256,cycle,cycleVisibleUuidCount,cycleIncidentalUuidCount,cycleRenderKeyCount,cumulativeDistinctActualVisibleUuids,cumulativeDistinctIncidentalUuids,cumulativeDistinctRenderKeys,cumulativeDistinctVisibleOrIncidentalUuids,browsedFootprintMiB,homeFootprintMiB,warm0HomeFootprintMiB,homeDeltaFromWarm0MiB,browsedHostElapsedMs,homeHostElapsedMs,browsedSnapshotSequence,homeSnapshotSequence
list-expanding-01,list,expanding,1788908582032-vzs70r7l,58780,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,40af0e11f44e0f6275595053fe099c94f1388624d2dea7c7a81f32b7fccdb283,1,27,30,36,27,30,36,30,269.1,275.3,266.3,9.0,210672.388792,231019.85341700003,419,430
list-expanding-01,list,expanding,1788908582032-vzs70r7l,58780,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,40af0e11f44e0f6275595053fe099c94f1388624d2dea7c7a81f32b7fccdb283,2,29,34,40,47,50,56,50,275.2,275,266.3,8.699999999999989,287534.732542,308142.36008400004,542,553
list-expanding-01,list,expanding,1788908582032-vzs70r7l,58780,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,40af0e11f44e0f6275595053fe099c94f1388624d2dea7c7a81f32b7fccdb283,3,29,34,40,67,70,76,70,280.4,289.2,266.3,22.899999999999977,363875.85566699994,384751.0244169999,665,676
list-expanding-01,list,expanding,1788908582032-vzs70r7l,58780,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,40af0e11f44e0f6275595053fe099c94f1388624d2dea7c7a81f32b7fccdb283,4,29,34,40,87,90,96,90,289.3,290.6,266.3,24.30000000000001,440664.518042,461012.89558400004,788,799
list-expanding-01,list,expanding,1788908582032-vzs70r7l,58780,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,40af0e11f44e0f6275595053fe099c94f1388624d2dea7c7a81f32b7fccdb283,5,29,34,40,107,110,116,110,290.6,289.6,266.3,23.30000000000001,516770.964375,537131.3641669999,911,922
list-expanding-01,list,expanding,1788908582032-vzs70r7l,58780,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,40af0e11f44e0f6275595053fe099c94f1388624d2dea7c7a81f32b7fccdb283,6,29,34,40,127,130,136,130,289.5,289.6,266.3,23.30000000000001,593446.883292,614045.105459,1034,1045
list-expanding-01,list,expanding,1788908582032-vzs70r7l,58780,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,40af0e11f44e0f6275595053fe099c94f1388624d2dea7c7a81f32b7fccdb283,7,29,34,40,147,150,156,150,289.8,288.3,266.3,22.0,670392.6186249999,693867.101209,1157,1168
list-expanding-01,list,expanding,1788908582032-vzs70r7l,58780,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,40af0e11f44e0f6275595053fe099c94f1388624d2dea7c7a81f32b7fccdb283,8,29,34,40,167,170,176,170,288.3,288.2,266.3,21.899999999999977,751804.244,772622.578334,1280,1291
list-expanding-01,list,expanding,1788908582032-vzs70r7l,58780,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,40af0e11f44e0f6275595053fe099c94f1388624d2dea7c7a81f32b7fccdb283,9,29,34,40,187,190,196,190,288.6,288.7,266.3,22.399999999999977,828302.32975,848749.320084,1403,1414
list-expanding-01,list,expanding,1788908582032-vzs70r7l,58780,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,40af0e11f44e0f6275595053fe099c94f1388624d2dea7c7a81f32b7fccdb283,10,29,34,40,207,210,216,210,288.6,288.9,266.3,22.599999999999966,905293.633875,925677.6591669999,1526,1537
list-expanding-01,list,expanding,1788908582032-vzs70r7l,58780,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,40af0e11f44e0f6275595053fe099c94f1388624d2dea7c7a81f32b7fccdb283,11,29,34,40,227,230,236,230,289,293.2,266.3,26.899999999999977,982549.70875,1004883.0031669999,1649,1661
list-expanding-01,list,expanding,1788908582032-vzs70r7l,58780,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,40af0e11f44e0f6275595053fe099c94f1388624d2dea7c7a81f32b7fccdb283,12,29,34,40,247,250,256,250,293.5,293.5,266.3,27.19999999999999,1060655.294459,1081091.884667,1773,1784
list-expanding-01,list,expanding,1788908582032-vzs70r7l,58780,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,40af0e11f44e0f6275595053fe099c94f1388624d2dea7c7a81f32b7fccdb283,13,29,34,40,267,270,276,270,293.8,292.9,266.3,26.599999999999966,1137312.453209,1157714.165834,1896,1907
list-expanding-01,list,expanding,1788908582032-vzs70r7l,58780,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,40af0e11f44e0f6275595053fe099c94f1388624d2dea7c7a81f32b7fccdb283,14,29,34,40,287,290,296,290,293,293.1,266.3,26.80000000000001,1213085.1989999998,1233491.7313340001,2019,2030
list-expanding-01,list,expanding,1788908582032-vzs70r7l,58780,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,40af0e11f44e0f6275595053fe099c94f1388624d2dea7c7a81f32b7fccdb283,15,29,34,40,307,310,316,310,293.1,293,266.3,26.69999999999999,1289212.5043340002,1310191.913792,2142,2153
list-expanding-01,list,expanding,1788908582032-vzs70r7l,58780,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,40af0e11f44e0f6275595053fe099c94f1388624d2dea7c7a81f32b7fccdb283,16,29,34,40,327,330,336,330,293.1,293,266.3,26.69999999999999,1365711.380375,1386069.451542,2265,2276
