cycle,warmup,phase,pid,footprintMiB,checkpointRequestedMs,hostElapsedMs,snapshotTimestampMs,snapshotSequence,appState,route,mountedImageSurfaces,mountedImages,overlayIndexSize,pendingRenders,queuedRenders,dispatchedRenders,clearPending,backgroundGeneration,clearStartedGeneration,clearCompletedGeneration,cycleVisibleUuidCount,cycleMountedOrPrefetchedUuidCount,cycleRenderKeyCount,measuredDistinctVisibleUuidCount,measuredDistinctMountedOrPrefetchedUuidCount,measuredDistinctRenderKeyCount
-1,True,settled,58780,244.6,31264.66070899996,34293.08583400003,1788908616215,69,active,(tabs)/climbs,18,63,200,0,0,0,0,0,-1,-1,8,13,19,0,0,0
-1,True,browsed,58780,249.6,54488.10254199989,56655.67075000005,1788908639415,168,active,(tabs)/climbs,19,66,200,0,0,0,0,0,-1,-1,27,30,36,0,0,0
-1,True,background,58780,246.4,56655.90124999988,59264.87525000004,1788908642055,175,background,(tabs)/climbs,0,0,200,0,0,0,0,1,1,1,27,30,36,0,0,0
-1,True,home,58780,253.6,75643.43625000003,77805.2782089999,1788908660580,179,active,(tabs)/home,19,66,200,0,0,0,0,1,1,1,27,30,36,0,0,0
0,True,settled,58780,265.6,109178.81541699986,111385.40945899999,1788908694183,194,active,(tabs)/climbs,19,66,200,0,0,0,0,1,1,1,21,30,36,0,0,0
0,True,browsed,58780,266.8,131615.76600000006,133834.80745900003,1788908716581,293,active,(tabs)/climbs,19,66,200,0,0,0,0,1,1,1,27,30,36,0,0,0
0,True,background,58780,262.9,133835.1409169999,136164.96608399996,1788908719003,301,background,(tabs)/climbs,0,0,200,0,0,0,0,2,2,2,27,30,36,0,0,0
0,True,home,58780,266.3,152029.69095900003,154187.08412500005,1788908736963,305,active,(tabs)/home,19,66,200,0,0,0,0,2,2,2,27,30,36,0,0,0
1,False,settled,58780,266.1,186177.138209,188250.64466700004,1788908771098,320,active,(tabs)/climbs,19,66,200,0,0,0,0,2,2,2,21,30,36,21,30,36
1,False,browsed,58780,269.1,208574.0046669999,210672.388792,1788908793497,419,active,(tabs)/climbs,19,66,200,0,0,0,0,2,2,2,27,30,36,27,30,36
1,False,background,58780,266.3,210672.66208399995,212986.18958400004,1788908795839,426,background,(tabs)/climbs,0,0,200,0,0,0,0,3,3,3,27,30,36,27,30,36
1,False,home,58780,275.3,228979.4497499999,231019.85341700003,1788908813796,430,active,(tabs)/home,19,66,200,0,0,0,0,3,3,3,27,30,36,27,30,36
2,False,settled,58780,274.7,262948.4066669999,265085.1316249999,1788908847916,443,active,(tabs)/climbs,19,66,200,0,0,0,0,3,3,3,10,15,21,28,31,37
2,False,browsed,58780,275.2,285365.16962499986,287534.732542,1788908870316,542,active,(tabs)/climbs,19,66,200,0,0,0,0,3,3,3,29,34,40,47,50,56
2,False,background,58780,271.6,287535.039292,289928.72508400003,1788908872686,549,background,(tabs)/climbs,0,0,200,0,0,0,0,4,4,4,29,34,40,47,50,56
2,False,home,58780,275,306167.09958399995,308142.36008400004,1788908890983,553,active,(tabs)/home,19,66,200,0,0,0,0,4,4,4,29,34,40,47,50,56
3,False,settled,58780,274.5,339368.87925,341459.8866669999,1788908924315,566,active,(tabs)/climbs,19,66,200,0,0,0,0,4,4,4,10,15,21,48,51,57
3,False,browsed,58780,280.4,361767.653959,363875.85566699994,1788908946716,665,active,(tabs)/climbs,19,66,200,0,0,0,0,4,4,4,29,34,40,67,70,76
3,False,background,58780,278.1,363876.15874999994,366435.709334,1788908949267,672,background,(tabs)/climbs,0,0,200,0,0,0,0,5,5,5,29,34,40,67,70,76
3,False,home,58780,289.2,382538.58079200005,384751.0244169999,1788908967481,676,active,(tabs)/home,19,66,200,0,0,0,0,5,5,5,29,34,40,67,70,76
4,False,settled,58780,288.7,416036.60562499985,418215.85762499995,1788909001047,689,active,(tabs)/climbs,19,66,200,0,0,0,0,5,5,5,10,15,21,68,71,77
4,False,browsed,58780,289.3,438528.6052919999,440664.518042,1788909023450,788,active,(tabs)/climbs,19,66,200,0,0,0,0,5,5,5,29,34,40,87,90,96
4,False,background,58780,285.8,440664.873959,443042.984709,1788909025821,795,background,(tabs)/climbs,0,0,200,0,0,0,0,6,6,6,29,34,40,87,90,96
4,False,home,58780,290.6,458845.7762499999,461012.89558400004,1788909043814,799,active,(tabs)/home,19,66,200,0,0,0,0,6,6,6,29,34,40,87,90,96
5,False,settled,58780,290.2,492185.12229199987,494325.51575,1788909077135,812,active,(tabs)/climbs,19,66,200,0,0,0,0,6,6,6,10,15,21,88,91,97
5,False,browsed,58780,290.6,514617.99199999985,516770.964375,1788909099535,911,active,(tabs)/climbs,19,66,200,0,0,0,0,6,6,6,29,34,40,107,110,116
5,False,background,58780,287.3,516771.3441669999,519149.80541699985,1788909101922,918,background,(tabs)/climbs,0,0,200,0,0,0,0,7,7,7,29,34,40,107,110,116
5,False,home,58780,289.6,534980.364417,537131.3641669999,1788909119932,922,active,(tabs)/home,19,66,200,0,0,0,0,7,7,7,29,34,40,107,110,116
6,False,settled,58780,289,568891.8205839999,571056.3119589998,1788909153802,935,active,(tabs)/climbs,19,66,200,0,0,0,0,7,7,7,10,15,21,108,111,117
6,False,browsed,58780,289.5,591301.2964589999,593446.883292,1788909176199,1034,active,(tabs)/climbs,19,66,200,0,0,0,0,7,7,7,29,34,40,127,130,136
6,False,background,58780,286,593447.280542,595854.277084,1788909178606,1041,background,(tabs)/climbs,0,0,200,0,0,0,0,8,8,8,29,34,40,127,130,136
6,False,home,58780,289.6,611880.429459,614045.105459,1788909196882,1045,active,(tabs)/home,19,66,200,0,0,0,0,8,8,8,29,34,40,127,130,136
7,False,settled,58780,289.3,645806.6328749999,647965.570209,1788909230768,1058,active,(tabs)/climbs,19,66,200,0,0,0,0,8,8,8,10,15,21,128,131,137
7,False,browsed,58780,289.8,668194.777917,670392.6186249999,1788909253166,1157,active,(tabs)/climbs,19,66,200,0,0,0,0,8,8,8,29,34,40,147,150,156
7,False,background,58780,286.4,670393.049959,672987.442542,1788909255774,1164,background,(tabs)/climbs,0,0,200,0,0,0,0,9,9,9,29,34,40,147,150,156
7,False,home,58780,288.3,690305.165459,693867.101209,1788909275116,1168,active,(tabs)/home,19,66,200,0,0,0,0,9,9,9,29,34,40,147,150,156
8,False,settled,58780,287.7,727184.793417,729423.675875,1788909312167,1181,active,(tabs)/climbs,19,66,200,0,0,0,0,9,9,9,10,15,21,148,151,157
8,False,browsed,58780,288.3,749622.4955839999,751804.244,1788909334568,1280,active,(tabs)/climbs,19,66,200,0,0,0,0,9,9,9,29,34,40,167,170,176
8,False,background,58780,284.8,751804.7271670001,754332.023,1788909336977,1287,background,(tabs)/climbs,0,0,200,0,0,0,0,10,10,10,29,34,40,167,170,176
8,False,home,58780,288.2,770561.599292,772622.578334,1788909355384,1291,active,(tabs)/home,19,66,200,0,0,0,0,10,10,10,29,34,40,167,170,176
9,False,settled,58780,287.7,803772.1732919998,805905.686,1788909388719,1304,active,(tabs)/climbs,19,66,200,0,0,0,0,10,10,10,10,15,21,168,171,177
9,False,browsed,58780,288.6,826159.4191669999,828302.32975,1788909411116,1403,active,(tabs)/climbs,19,66,200,0,0,0,0,10,10,10,29,34,40,187,190,196
9,False,background,58780,285.2,828302.854084,830695.614209,1788909413452,1410,background,(tabs)/climbs,0,0,200,0,0,0,0,11,11,11,29,34,40,187,190,196
9,False,home,58780,288.7,846592.823209,848749.320084,1788909431515,1414,active,(tabs)/home,19,66,200,0,0,0,0,11,11,11,29,34,40,187,190,196
10,False,settled,58780,288.3,880671.9593749999,882924.449209,1788909465667,1427,active,(tabs)/climbs,19,66,200,0,0,0,0,11,11,11,10,15,21,188,191,197
10,False,browsed,58780,288.6,903088.5596669998,905293.633875,1788909488066,1526,active,(tabs)/climbs,19,66,200,0,0,0,0,11,11,11,29,34,40,207,210,216
10,False,background,58780,285.3,905294.1568749999,907678.510584,1788909490453,1533,background,(tabs)/climbs,0,0,200,0,0,0,0,12,12,12,29,34,40,207,210,216
10,False,home,58780,288.9,923694.611917,925677.6591669999,1788909508450,1537,active,(tabs)/home,19,66,200,0,0,0,0,12,12,12,29,34,40,207,210,216
11,False,settled,58780,288.3,956874.165,959018.7215839999,1788909541781,1550,active,(tabs)/climbs,19,66,200,0,0,0,0,12,12,12,10,15,21,208,211,217
11,False,browsed,58780,289,979253.591,982549.70875,1788909564185,1649,active,(tabs)/climbs,19,66,200,0,0,0,0,12,12,12,29,34,40,227,230,236
11,False,background,58780,285.7,982550.596375,985276.22275,1788909568044,1657,background,(tabs)/climbs,0,0,200,0,0,0,0,13,13,13,29,34,40,227,230,236
11,False,home,58780,293.2,1002888.794334,1004883.0031669999,1788909587650,1661,active,(tabs)/home,19,66,200,0,0,0,0,13,13,13,29,34,40,227,230,236
12,False,settled,58780,292.9,1036061.0221249999,1038216.389042,1788909621000,1674,active,(tabs)/climbs,19,66,200,0,0,0,0,13,13,13,10,15,21,228,231,237
12,False,browsed,58780,293.5,1058500.7264170002,1060655.294459,1788909643397,1773,active,(tabs)/climbs,19,66,200,0,0,0,0,13,13,13,29,34,40,247,250,256
12,False,background,58780,290,1060655.9862499998,1063042.135459,1788909645807,1780,background,(tabs)/climbs,0,0,200,0,0,0,0,14,14,14,29,34,40,247,250,256
12,False,home,58780,293.5,1079032.2949169998,1081091.884667,1788909663814,1784,active,(tabs)/home,19,66,200,0,0,0,0,14,14,14,29,34,40,247,250,256
13,False,settled,58780,293.2,1112764.997375,1114935.387167,1788909697683,1797,active,(tabs)/climbs,19,66,200,0,0,0,0,14,14,14,10,15,21,248,251,257
13,False,browsed,58780,293.8,1135171.3104589998,1137312.453209,1788909720083,1896,active,(tabs)/climbs,19,66,200,0,0,0,0,14,14,14,29,34,40,267,270,276
13,False,background,58780,290.4,1137313.057417,1139660.1806670001,1788909722444,1903,background,(tabs)/climbs,0,0,200,0,0,0,0,15,15,15,29,34,40,267,270,276
13,False,home,58780,292.9,1155540.356417,1157714.165834,1788909740464,1907,active,(tabs)/home,19,66,200,0,0,0,0,15,15,15,29,34,40,267,270,276
14,False,settled,58780,292.2,1188607.568417,1190772.0766669998,1788909773533,1920,active,(tabs)/climbs,19,66,200,0,0,0,0,15,15,15,10,15,21,268,271,277
14,False,browsed,58780,293,1210942.1049169998,1213085.1989999998,1788909795934,2019,active,(tabs)/climbs,19,66,200,0,0,0,0,15,15,15,29,34,40,287,290,296
14,False,background,58780,289.6,1213085.806792,1215490.883375,1788909798237,2026,background,(tabs)/climbs,0,0,200,0,0,0,0,16,16,16,29,34,40,287,290,296
14,False,home,58780,293.1,1231362.9572499997,1233491.7313340001,1788909816264,2030,active,(tabs)/home,19,66,200,0,0,0,0,16,16,16,29,34,40,287,290,296
15,False,settled,58780,292.4,1264704.141375,1266842.8857500001,1788909849619,2043,active,(tabs)/climbs,19,66,200,0,0,0,0,16,16,16,10,15,21,288,291,297
15,False,browsed,58780,293.1,1287034.81975,1289212.5043340002,1788909872016,2142,active,(tabs)/climbs,19,66,200,0,0,0,0,16,16,16,29,34,40,307,310,316
15,False,background,58780,289.7,1289213.171584,1291874.263292,1788909874576,2149,background,(tabs)/climbs,0,0,200,0,0,0,0,17,17,17,29,34,40,307,310,316
15,False,home,58780,293,1308226.6356249999,1310191.913792,1788909892983,2153,active,(tabs)/home,19,66,200,0,0,0,0,17,17,17,29,34,40,307,310,316
16,False,settled,58780,292.5,1341101.941917,1343224.0365000002,1788909926049,2166,active,(tabs)/climbs,19,66,200,0,0,0,0,17,17,17,10,15,21,308,311,317
16,False,browsed,58780,293.1,1363442.4056669998,1365711.380375,1788909948450,2265,active,(tabs)/climbs,19,66,200,0,0,0,0,17,17,17,29,34,40,327,330,336
16,False,background,58780,289.6,1365712.0547919997,1368069.866917,1788909950839,2272,background,(tabs)/climbs,0,0,200,0,0,0,0,18,18,18,29,34,40,327,330,336
16,False,home,58780,293,1383962.5777089999,1386069.451542,1788909968864,2276,active,(tabs)/home,19,66,200,0,0,0,0,18,18,18,29,34,40,327,330,336
17,False,settled,58780,292.7,1417828.696417,1420003.488834,1788910002733,2289,active,(tabs)/climbs,19,66,200,0,0,0,0,18,18,18,10,15,21,328,331,337
17,False,browsed,58780,293.1,1440216.9078339997,1442363.9404590002,1788910025133,2388,active,(tabs)/climbs,19,66,200,0,0,0,0,18,18,18,29,34,40,347,350,356
17,False,background,58780,289.8,1442364.665959,1444750.4995839999,1788910027520,2395,background,(tabs)/climbs,0,0,200,0,0,0,0,19,19,19,29,34,40,347,350,356
17,False,home,58780,293.4,1460713.2970839997,1462760.0515420001,1788910045565,2399,active,(tabs)/home,19,66,200,0,0,0,0,19,19,19,29,34,40,347,350,356
18,False,settled,58780,292.7,1494164.227042,1496413.3860839999,1788910079166,2412,active,(tabs)/climbs,19,66,200,0,0,0,0,19,19,19,10,15,21,348,351,357
18,False,browsed,58780,293.3,1516563.6275000002,1518811.013,1788910101566,2511,active,(tabs)/climbs,19,66,200,0,0,0,0,19,19,19,29,34,40,367,370,376
18,False,background,58780,289.8,1518811.7979169998,1521186.112542,1788910103952,2518,background,(tabs)/climbs,0,0,200,0,0,0,0,20,20,20,29,34,40,367,370,376
18,False,home,58780,293.4,1536934.0351250002,1538881.56625,1788910121700,2522,active,(tabs)/home,19,66,200,0,0,0,0,20,20,20,29,34,40,367,370,376
19,False,settled,58780,292.8,1570055.4779589998,1572183.5627089997,1788910155033,2535,active,(tabs)/climbs,19,66,200,0,0,0,0,20,20,20,10,15,21,368,371,377
19,False,browsed,58780,293.7,1592518.821334,1594662.1912089998,1788910177431,2634,active,(tabs)/climbs,19,66,200,0,0,0,0,20,20,20,29,34,40,387,390,396
19,False,background,58780,290.3,1594662.923667,1597260.1449999998,1788910180053,2641,background,(tabs)/climbs,0,0,200,0,0,0,0,21,21,21,29,34,40,387,390,396
19,False,home,58780,293.6,1613285.9281249999,1615315.9362919999,1788910198066,2645,active,(tabs)/home,19,66,200,0,0,0,0,21,21,21,29,34,40,387,390,396
20,False,settled,58780,293,1646463.526667,1648610.32775,1788910231401,2658,active,(tabs)/climbs,19,66,200,0,0,0,0,21,21,21,10,15,21,388,391,397
20,False,browsed,58780,293.6,1668809.20075,1670966.2675420002,1788910253801,2757,active,(tabs)/climbs,19,66,200,0,0,0,0,21,21,21,29,34,40,407,410,416
20,False,background,58780,290.2,1670967.087459,1673339.0964590001,1788910256097,2764,background,(tabs)/climbs,0,0,200,0,0,0,0,22,22,22,29,34,40,407,410,416
20,False,home,58780,293.8,1689269.3579999998,1691291.8484170001,1788910274098,2768,active,(tabs)/home,19,66,200,0,0,0,0,22,22,22,29,34,40,407,410,416
