cycle,warmup,phase,pid,footprintMiB,checkpointRequestedMs,hostElapsedMs,snapshotTimestampMs,snapshotSequence,appState,route,mountedImageSurfaces,mountedImages,overlayIndexSize,pendingRenders,queuedRenders,dispatchedRenders,clearPending,backgroundGeneration,clearStartedGeneration,clearCompletedGeneration,cycleVisibleUuidCount,cycleMountedOrPrefetchedUuidCount,cycleRenderKeyCount,measuredDistinctVisibleUuidCount,measuredDistinctMountedOrPrefetchedUuidCount,measuredDistinctRenderKeyCount
-1,True,settled,11711,222.3,31265.430750000058,33767.55099999998,1788911460164,65,active,(tabs)/home,18,63,200,0,0,0,0,0,-1,-1,0,13,19,0,0,0
-1,True,browsed,11711,222.3,54489.26937500015,56675.632750000106,1788911483366,69,active,(tabs)/home,18,63,200,0,0,0,0,0,-1,-1,0,13,19,0,0,0
-1,True,background,11711,220.7,56675.860500000184,59359.34479100001,1788911485999,76,background,(tabs)/home,0,0,200,0,0,0,0,1,1,1,0,13,19,0,0,0
-1,True,home,11711,230.2,75644.07020800002,77577.42191600008,1788911504363,80,active,(tabs)/home,18,63,200,0,0,0,0,1,1,1,0,13,19,0,0,0
0,True,settled,11711,230.1,109179.83933300013,111169.50075000012,1788911537948,88,active,(tabs)/home,18,63,200,0,0,0,0,1,1,1,0,13,19,0,0,0
0,True,browsed,11711,230.2,131616.2837080001,133601.9992500001,1788911560346,92,active,(tabs)/home,18,63,200,0,0,0,0,1,1,1,0,13,19,0,0,0
0,True,background,11711,226.2,133835.41062500002,136217.162458,1788911562984,99,background,(tabs)/home,0,0,200,0,0,0,0,2,2,2,0,13,19,0,0,0
0,True,home,11711,236.7,152030.30949999997,154209.00595799997,1788911580950,103,active,(tabs)/home,18,63,200,0,0,0,0,2,2,2,0,13,19,0,0,0
1,False,settled,11711,238.2,186177.8080000002,188449.5327910001,1788911615081,111,active,(tabs)/home,18,63,200,0,0,0,0,2,2,2,0,13,19,0,13,19
1,False,browsed,11711,238.2,208574.60120799998,210798.439916,1788911637481,115,active,(tabs)/home,18,63,200,0,0,0,0,2,2,2,0,13,19,0,13,19
1,False,background,11711,234.8,210798.66841599997,213127.76783300005,1788911639884,122,background,(tabs)/home,0,0,200,0,0,0,0,3,3,3,0,13,19,0,13,19
1,False,home,11711,238.2,228980.17550000013,231223.938416,1788911657867,126,active,(tabs)/home,18,63,200,0,0,0,0,3,3,3,0,13,19,0,13,19
2,False,settled,11711,238.2,262948.73100000015,265055.98095800006,1788911691726,134,active,(tabs)/home,18,63,200,0,0,0,0,3,3,3,0,13,19,0,13,19
2,False,browsed,11711,238.1,285366.230583,287485.4199580001,1788911714123,138,active,(tabs)/home,18,63,200,0,0,0,0,3,3,3,0,13,19,0,13,19
2,False,background,11711,234.9,287536.1403750002,289951.1942500002,1788911716622,146,background,(tabs)/home,0,0,200,0,0,0,0,4,4,4,0,13,19,0,13,19
2,False,home,11711,238.9,306167.62870800006,308262.2240830001,1788911734922,150,active,(tabs)/home,18,63,200,0,0,0,0,4,4,4,0,13,19,0,13,19
