cycle,warmup,phase,pid,footprintMiB,checkpointRequestedMs,hostElapsedMs,snapshotTimestampMs,snapshotSequence,appState,route,mountedImageSurfaces,mountedImages,overlayIndexSize,pendingRenders,queuedRenders,dispatchedRenders,clearPending,backgroundGeneration,clearStartedGeneration,clearCompletedGeneration,cycleVisibleUuidCount,cycleMountedOrPrefetchedUuidCount,cycleRenderKeyCount,measuredDistinctVisibleUuidCount,measuredDistinctMountedOrPrefetchedUuidCount,measuredDistinctRenderKeyCount
-1,True,settled,89583,222.6,31675.661958000004,34768.236083,1788903995987,66,active,(tabs)/home,18,63,200,0,0,0,0,0,-1,-1,0,13,19,0,0,0
-1,True,browsed,89583,222.6,56023.860416,58195.33974999999,1788904020503,70,active,(tabs)/home,18,63,200,0,0,0,0,0,-1,-1,0,13,19,0,0,0
-1,True,background,89583,219.9,58195.572125,60801.988124999996,1788904023100,77,background,(tabs)/home,0,0,200,0,0,0,0,1,1,1,0,13,19,0,0,0
-1,True,home,89583,230.1,76973.64079099998,79025.299291,1788904041337,81,active,(tabs)/home,18,63,200,0,0,0,0,1,1,1,0,13,19,0,0,0
0,True,settled,89583,229.9,110430.39587499999,112482.347125,1788904074820,89,active,(tabs)/home,18,63,200,0,0,0,0,1,1,1,0,13,19,0,0,0
0,True,browsed,89583,229.9,132819.070583,134869.52325,1788904097218,93,active,(tabs)/home,18,63,200,0,0,0,0,1,1,1,0,13,19,0,0,0
0,True,background,89583,225.9,134988.92275,137405.208666,1788904099676,101,background,(tabs)/home,0,0,200,0,0,0,0,2,2,2,0,13,19,0,0,0
0,True,home,89583,229.4,153366.428166,155296.94275,1788904117670,105,active,(tabs)/home,18,63,200,0,0,0,0,2,2,2,0,13,19,0,0,0
1,False,settled,89583,230.1,186989.229458,189167.248666,1788904151471,113,active,(tabs)/home,18,63,200,0,0,0,0,2,2,2,0,13,19,0,13,19
1,False,browsed,89583,230.1,209407.4885,211532.11149999997,1788904173871,117,active,(tabs)/home,18,63,200,0,0,0,0,2,2,2,0,13,19,0,13,19
1,False,background,89583,226.9,211532.35058299996,213910.33858299998,1788904176206,124,background,(tabs)/home,0,0,200,0,0,0,0,3,3,3,0,13,19,0,13,19
1,False,home,89583,241.9,229839.192375,231874.106083,1788904194204,128,active,(tabs)/home,18,63,200,0,0,0,0,3,3,3,0,13,19,0,13,19
2,False,settled,89583,243.3,264437.975583,266490.743458,1788904228838,136,active,(tabs)/home,18,63,200,0,0,0,0,3,3,3,0,13,19,0,13,19
2,False,browsed,89583,243.3,286879.92775000003,288923.894875,1788904251220,140,active,(tabs)/home,18,63,200,0,0,0,0,3,3,3,0,13,19,0,13,19
2,False,background,89583,240.4,289028.29637500003,291446.161375,1788904253726,148,background,(tabs)/home,0,0,200,0,0,0,0,4,4,4,0,13,19,0,13,19
2,False,home,89583,246,307357.99108300003,309413.326083,1788904271722,152,active,(tabs)/home,18,63,200,0,0,0,0,4,4,4,0,13,19,0,13,19
3,False,settled,89583,246,341758.830291,343680.74850000005,1788904306071,160,active,(tabs)/home,18,63,200,0,0,0,0,4,4,4,0,13,19,0,13,19
3,False,browsed,89583,246,364178.566708,366098.798208,1788904328471,164,active,(tabs)/home,18,63,200,0,0,0,0,4,4,4,0,13,19,0,13,19
3,False,background,89583,242.7,366322.15141600004,368952.567791,1788904331225,172,background,(tabs)/home,0,0,200,0,0,0,0,5,5,5,0,13,19,0,13,19
3,False,home,89583,246,385006.93258300005,387175.95504100004,1788904349505,176,active,(tabs)/home,18,63,200,0,0,0,0,5,5,5,0,13,19,0,13,19
4,False,settled,89583,246,419424.612291,421501.0085,1788904383823,184,active,(tabs)/home,18,63,200,0,0,0,0,5,5,5,0,13,19,0,13,19
4,False,browsed,89583,245.9,441731.640083,443879.119,1788904406206,188,active,(tabs)/home,18,63,200,0,0,0,0,5,5,5,0,13,19,0,13,19
4,False,background,89583,242.6,443974.537833,446373.841208,1788904408674,196,background,(tabs)/home,0,0,200,0,0,0,0,6,6,6,0,13,19,0,13,19
4,False,home,89583,246.4,462278.12375,464338.564458,1788904426622,200,active,(tabs)/home,18,63,200,0,0,0,0,6,6,6,0,13,19,0,13,19
5,False,settled,89583,247.9,496660.33004100004,498588.722125,1788904460957,208,active,(tabs)/home,18,63,200,0,0,0,0,6,6,6,0,13,19,0,13,19
5,False,browsed,89583,247.9,519061.968875,520985.753166,1788904483354,212,active,(tabs)/home,18,63,200,0,0,0,0,6,6,6,0,13,19,0,13,19
5,False,background,89583,244.7,521228.58045800007,523533.156666,1788904485924,219,background,(tabs)/home,0,0,200,0,0,0,0,7,7,7,0,13,19,0,13,19
5,False,home,89583,245.7,539421.428333,541479.010291,1788904503771,223,active,(tabs)/home,18,63,200,0,0,0,0,7,7,7,0,13,19,0,13,19
6,False,settled,89583,245.6,572842.518208,574995.372375,1788904537306,231,active,(tabs)/home,18,63,200,0,0,0,0,7,7,7,0,13,19,0,13,19
