run,surface,workload,runtimeId,pid,manifestSha256,measurementsSha256,cycle,cycleVisibleUuidCount,cycleIncidentalUuidCount,cycleRenderKeyCount,cumulativeDistinctActualVisibleUuids,cumulativeDistinctIncidentalUuids,cumulativeDistinctRenderKeys,cumulativeDistinctVisibleOrIncidentalUuids,browsedFootprintMiB,homeFootprintMiB,warm0HomeFootprintMiB,homeDeltaFromWarm0MiB,browsedHostElapsedMs,homeHostElapsedMs,browsedSnapshotSequence,homeSnapshotSequence
list-replay-03,list,replay,1788901724680-o6vzduk0,32415,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,473d5414f6c139147aaf9ef35c8d86aab199e5b6dee04854664f285945a574fb,1,27,30,36,27,30,36,30,270.2,271.3,270.6,0.6999999999999886,211470.716125,231994.78404100004,420,431
list-replay-03,list,replay,1788901724680-o6vzduk0,32415,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,473d5414f6c139147aaf9ef35c8d86aab199e5b6dee04854664f285945a574fb,2,27,30,36,27,30,36,30,285.4,285.6,270.6,15.0,289026.674541,309392.250375,545,556
list-replay-03,list,replay,1788901724680-o6vzduk0,32415,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,473d5414f6c139147aaf9ef35c8d86aab199e5b6dee04854664f285945a574fb,3,27,30,36,27,30,36,30,285.4,285.7,270.6,15.099999999999966,366320.20520799997,387021.091708,670,681
list-replay-03,list,replay,1788901724680-o6vzduk0,32415,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,473d5414f6c139147aaf9ef35c8d86aab199e5b6dee04854664f285945a574fb,4,27,30,36,27,30,36,30,284.1,284.2,270.6,13.599999999999966,443972.310916,464314.49649999995,795,806
list-replay-03,list,replay,1788901724680-o6vzduk0,32415,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,473d5414f6c139147aaf9ef35c8d86aab199e5b6dee04854664f285945a574fb,5,27,30,36,27,30,36,30,284.6,285.1,270.6,14.5,521228.07462499995,541447.4775830001,920,931
list-replay-03,list,replay,1788901724680-o6vzduk0,32415,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,473d5414f6c139147aaf9ef35c8d86aab199e5b6dee04854664f285945a574fb,6,27,30,36,27,30,36,30,287.5,287.6,270.6,17.0,597450.242875,618031.899833,1045,1056
list-replay-03,list,replay,1788901724680-o6vzduk0,32415,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,473d5414f6c139147aaf9ef35c8d86aab199e5b6dee04854664f285945a574fb,7,27,30,36,27,30,36,30,287.4,288,270.6,17.399999999999977,674675.6062500001,695262.43975,1170,1181
list-replay-03,list,replay,1788901724680-o6vzduk0,32415,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,473d5414f6c139147aaf9ef35c8d86aab199e5b6dee04854664f285945a574fb,8,27,30,36,27,30,36,30,287.7,287.9,270.6,17.299999999999955,751131.237791,771657.3026660001,1295,1306
list-replay-03,list,replay,1788901724680-o6vzduk0,32415,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,473d5414f6c139147aaf9ef35c8d86aab199e5b6dee04854664f285945a574fb,9,27,30,36,27,30,36,30,288.3,291.8,270.6,21.19999999999999,827828.999208,848103.91,1420,1431
list-replay-03,list,replay,1788901724680-o6vzduk0,32415,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,473d5414f6c139147aaf9ef35c8d86aab199e5b6dee04854664f285945a574fb,10,27,30,36,27,30,36,30,291.6,293.1,270.6,22.5,904770.7896250001,925314.0717910001,1545,1556
list-replay-03,list,replay,1788901724680-o6vzduk0,32415,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,473d5414f6c139147aaf9ef35c8d86aab199e5b6dee04854664f285945a574fb,11,27,30,36,27,30,36,30,293.4,292.3,270.6,21.69999999999999,982006.2467080001,1002784.6421250001,1670,1681
list-replay-03,list,replay,1788901724680-o6vzduk0,32415,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,473d5414f6c139147aaf9ef35c8d86aab199e5b6dee04854664f285945a574fb,12,27,30,36,27,30,36,30,292.3,292.6,270.6,22.0,1060234.3865,1080810.7723329999,1795,1806
list-replay-03,list,replay,1788901724680-o6vzduk0,32415,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,473d5414f6c139147aaf9ef35c8d86aab199e5b6dee04854664f285945a574fb,13,27,30,36,27,30,36,30,292.8,292.3,270.6,21.69999999999999,1137313.139125,1157949.426916,1920,1931
list-replay-03,list,replay,1788901724680-o6vzduk0,32415,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,473d5414f6c139147aaf9ef35c8d86aab199e5b6dee04854664f285945a574fb,14,27,30,36,27,30,36,30,292.4,292.6,270.6,22.0,1214743.2606249999,1235183.236208,2045,2056
list-replay-03,list,replay,1788901724680-o6vzduk0,32415,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,473d5414f6c139147aaf9ef35c8d86aab199e5b6dee04854664f285945a574fb,15,27,30,36,27,30,36,30,292.5,294.5,270.6,23.899999999999977,1291623.550208,1312446.2829159999,2170,2181
list-replay-03,list,replay,1788901724680-o6vzduk0,32415,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,473d5414f6c139147aaf9ef35c8d86aab199e5b6dee04854664f285945a574fb,16,27,30,36,27,30,36,30,294.3,295.5,270.6,24.899999999999977,1368892.079625,1389433.4155829998,2295,2306
list-replay-03,list,replay,1788901724680-o6vzduk0,32415,8bbaf609fcf2bb0ea75c29c758af655cfff4b46f20ed15e103b87ceba7d718cf,473d5414f6c139147aaf9ef35c8d86aab199e5b6dee04854664f285945a574fb,17,27,30,36,27,30,36,30,295.8,293.5,270.6,22.899999999999977,1446097.0895409998,1466433.5487499998,2420,2431
