cycle,warmup,phase,pid,footprintMiB,checkpointRequestedMs,hostElapsedMs,snapshotTimestampMs,snapshotSequence,appState,route,mountedImageSurfaces,mountedImages,overlayIndexSize,pendingRenders,queuedRenders,dispatchedRenders,clearPending,backgroundGeneration,clearStartedGeneration,clearCompletedGeneration,cycleVisibleUuidCount,cycleMountedOrPrefetchedUuidCount,cycleRenderKeyCount,measuredDistinctVisibleUuidCount,measuredDistinctMountedOrPrefetchedUuidCount,measuredDistinctRenderKeyCount
-1,True,settled,32415,242.3,31674.178708,35710.816415999994,1788901759043,71,active,(tabs)/climbs,18,63,200,0,0,0,0,0,-1,-1,8,13,19,0,0,0
-1,True,browsed,32415,259.4,56022.970208000006,58184.632957999995,1788901783411,170,active,(tabs)/climbs,19,66,200,0,0,0,0,0,-1,-1,27,30,36,0,0,0
-1,True,background,32415,257.8,58184.876874999994,60794.274708000004,1788901786038,177,background,(tabs)/climbs,0,0,200,0,0,0,0,1,1,1,27,30,36,0,0,0
-1,True,home,32415,260.4,76971.9045,79012.335291,1788901804292,181,active,(tabs)/home,19,66,200,0,0,0,0,1,1,1,27,30,36,0,0,0
0,True,settled,32415,260.5,110429.77895800001,112608.062125,1788901837811,196,active,(tabs)/climbs,19,66,200,0,0,0,0,1,1,1,21,30,36,0,0,0
0,True,browsed,32415,263.7,132818.046208,134988.338958,1788901860211,295,active,(tabs)/climbs,19,66,200,0,0,0,0,1,1,1,27,30,36,0,0,0
0,True,background,32415,259.8,134988.68512500002,137394.157416,1788901862616,302,background,(tabs)/climbs,0,0,200,0,0,0,0,2,2,2,27,30,36,0,0,0
0,True,home,32415,270.6,153364.397541,155322.58162500002,1788901880595,306,active,(tabs)/home,19,66,200,0,0,0,0,2,2,2,27,30,36,0,0,0
1,False,settled,32415,270.2,186988.76283300002,189168.10904100002,1788901914378,321,active,(tabs)/climbs,19,66,200,0,0,0,0,2,2,2,22,30,36,22,30,36
1,False,browsed,32415,270.2,209405.98575000002,211470.716125,1788901936777,420,active,(tabs)/climbs,19,66,200,0,0,0,0,2,2,2,27,30,36,27,30,36
1,False,background,32415,266.8,211470.97012500002,213865.595833,1788901939100,427,background,(tabs)/climbs,0,0,200,0,0,0,0,3,3,3,27,30,36,27,30,36
1,False,home,32415,271.3,229837.06833300003,231994.78404100004,1788901957312,431,active,(tabs)/home,19,66,200,0,0,0,0,3,3,3,27,30,36,27,30,36
2,False,settled,32415,283.4,264437.16070799995,266622.11412499996,1788901991878,446,active,(tabs)/climbs,19,66,200,0,0,0,0,3,3,3,21,30,36,27,30,36
2,False,browsed,32415,285.4,286878.69287499995,289026.674541,1788902014278,545,active,(tabs)/climbs,19,66,200,0,0,0,0,3,3,3,27,30,36,27,30,36
2,False,background,32415,282.1,289027.025708,291434.13733299996,1788902016641,552,background,(tabs)/climbs,0,0,200,0,0,0,0,4,4,4,27,30,36,27,30,36
2,False,home,32415,285.6,307356.218375,309392.250375,1788902034610,556,active,(tabs)/home,19,66,200,0,0,0,0,4,4,4,27,30,36,27,30,36
3,False,settled,32415,285.7,341757.54570799996,343904.01445799996,1788902069161,571,active,(tabs)/climbs,19,66,200,0,0,0,0,4,4,4,21,30,36,27,30,36
3,False,browsed,32415,285.4,364176.720791,366320.20520799997,1788902091562,670,active,(tabs)/climbs,19,66,200,0,0,0,0,4,4,4,27,30,36,27,30,36
3,False,background,32415,282,366320.526708,368924.27575,1788902094160,677,background,(tabs)/climbs,0,0,200,0,0,0,0,5,5,5,27,30,36,27,30,36
3,False,home,32415,285.7,385005.235583,387021.091708,1788902112343,681,active,(tabs)/home,19,66,200,0,0,0,0,5,5,5,27,30,36,27,30,36
4,False,settled,32415,284.2,419423.386625,421577.711333,1788902146795,696,active,(tabs)/climbs,19,66,200,0,0,0,0,5,5,5,22,30,36,27,30,36
4,False,browsed,32415,284.1,441729.61191599997,443972.310916,1788902169195,795,active,(tabs)/climbs,19,66,200,0,0,0,0,5,5,5,27,30,36,27,30,36
4,False,background,32415,280.9,443972.64674999996,446355.4865,1788902171584,802,background,(tabs)/climbs,0,0,200,0,0,0,0,6,6,6,27,30,36,27,30,36
4,False,home,32415,284.2,462276.301041,464314.49649999995,1788902189544,806,active,(tabs)/home,19,66,200,0,0,0,0,6,6,6,27,30,36,27,30,36
5,False,settled,32415,284.3,496658.75195799995,498804.556791,1788902224080,821,active,(tabs)/climbs,19,66,200,0,0,0,0,6,6,6,22,30,36,27,30,36
5,False,browsed,32415,284.6,519060.36604099994,521228.07462499995,1788902246482,920,active,(tabs)/climbs,19,66,200,0,0,0,0,6,6,6,27,30,36,27,30,36
5,False,background,32415,281.3,521228.47333300003,523625.00891599996,1788902248854,927,background,(tabs)/climbs,0,0,200,0,0,0,0,7,7,7,27,30,36,27,30,36
5,False,home,32415,285.1,539420.190166,541447.4775830001,1788902266777,931,active,(tabs)/home,19,66,200,0,0,0,0,7,7,7,27,30,36,27,30,36
6,False,settled,32415,287.3,572841.237791,574960.666875,1788902300278,946,active,(tabs)/climbs,19,66,200,0,0,0,0,7,7,7,22,30,36,27,30,36
6,False,browsed,32415,287.5,595306.940166,597450.242875,1788902322681,1045,active,(tabs)/climbs,19,66,200,0,0,0,0,7,7,7,27,30,36,27,30,36
6,False,background,32415,284.1,597450.6619160001,599838.573083,1788902325067,1052,background,(tabs)/climbs,0,0,200,0,0,0,0,8,8,8,27,30,36,27,30,36
6,False,home,32415,287.6,616001.8570000001,618031.899833,1788902343294,1056,active,(tabs)/home,19,66,200,0,0,0,0,8,8,8,27,30,36,27,30,36
7,False,settled,32415,287.5,650107.606458,652273.56775,1788902377579,1071,active,(tabs)/climbs,19,66,200,0,0,0,0,8,8,8,21,30,36,27,30,36
